"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Levels Propagation Approach (LPA)","No","New","No","Segmentation","Not informed","Breast tumor","RIDER breast tumor dataset, CMH-LIMED breast tumor dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Competitive results to state-of-the-art methods","Yes","Yes","Not informed","Levels Propagation Approach to Image Segmentation: Application to Breast MR Images"
"CNN with filter-based input augmentation","Yes","Adaptation","Yes","Classification","Yes","Not informed","Not informed","Not informed","Not informed","Yes (filter-based augmentation)","Not informed","Yes","Yes (using mid-level computer vision filters)","Yes","Classification accuracy","Not informed","No","No","Not informed","Improving the performance of convolutional neural network for skin image classification using the response of image analysis filters"
"Not informed","Yes","Not informed","No","Review of segmentation and classification methods","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","No","No","Not informed","Various Types of Skin Tumors Lesion Medical Imaging (STLMI) of Healthy and Unhealthy Moles a Review and Computational of: Segmentation, Classification, Methods and Algorithms"
"Multi-stride fully convolutional network (FCN) architecture","Yes","New","No","Segmentation","Yes","Cutaneous melanoma","Curated dataset of 50 patient cases (WSIs)","50","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Standard metrics (not specified)","Diagnostically equivalent to ground truth measurements","No","No","Dermis segmentation requires improvement","Segmentation of prognostic tissue structures in cutaneous melanoma using whole slide images"
"Genetic based clustering algorithm","No","New","Yes","Segmentation","Yes","Not informed","Not informed","Not informed","Not informed","Yes (L*a*b color space conversion)","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","An implementation of novel genetic based clustering algorithm for color image segmentation"
"Hybrid Deep Neural Networks","Yes","New","Yes","Classification","Yes","Melanoma, Seborrheic keratosis","ISIC 2017 dataset","150 (validation images)","Not informed","Not informed","Not informed","Yes","Not informed","No","Area under receiver operating characteristic curve (AUC-ROC)","83.83% AUC-ROC for melanoma, 97.55% AUC-ROC for seborrheic keratosis","No","No","Not informed","Skin Lesion Classification Using Hybrid Deep Neural Networks"
"Convolutional Neural Network (CNN) for texture classification","Yes","Not informed","Yes","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes (segmentation and multi-scale decomposition)","Not informed","Not informed","Not informed","Yes","Accuracy","Higher accuracy compared to other approaches","Yes","No","Not informed","Texture classification of skin lesion using convolutional neural network"
"Adaptive thresholding with normalization of color models","Yes","Not informed","No","Segmentation","Yes","Melanoma","ISIC dataset","Not informed","Not informed","Yes (normalization of color models)","Not informed","No","Not informed","Yes (Otsu segmentation method)","Dice score, Jaccard scores","Not informed","No","No","Not informed","A skin lesion segmentation method for dermoscopic images based on adaptive thresholding with normalization of color models"
"Gray-Level Co-Occurrence Matrix (GLCM) based Approach","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy, Sensitivity, Specificity","99.02% Accuracy","Yes","No","Not informed","An Efficient Gray-Level Co-Occurrence Matrix (GLCM) based Approach Towards Classification of Skin Lesion"
"Convolutional neural network (CNN) model","Yes","New","No","Segmentation and measurement of Proliferation Index (PI)","Yes","Melanoma","Ki-67 stained biopsy images","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Error rate","Average error rate less than 0.7%","No","No","Not informed","Automated Melanoma Staging in Lymph Node Biopsy Image using Deep Learning"
"Edge detector-based automatic segmentation","Yes","Not informed","Yes","Segmentation","Yes","Not informed","3T MRI dataset (35 healthy subjects)","Not informed","Not informed","Yes (T2 map generation, Canny filter)","Comparison with manual measurements","Not informed","Not informed","No","Correlation coefficient (ρ), Dice index, Hausdorff distance","Strong correlation between automatic and manual measurements (ρ: 0.905 for T2 values, ρ: 0.8663 for thickness measurements)","No","No","Failure rate of the algorithm was below 5%, computation time was 139.12s","Edge detector-based automatic segmentation of the skin layers and application to moisturization in high-resolution 3 Tesla magnetic resonance imaging"
"Combination of LDA and deep learning features","Yes","Not informed","Yes","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","No","Various metrics (not specified)","Not informed","No","No","Not informed","Optimised deep learning features for improved melanoma detection"
"Multi-stage UNets (MS-UNet) with context information fusion structure","Yes","New","Yes","Segmentation","Yes","Melanoma","ISBI 2016 Skin Lesion Challenge dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Jaccard index, Dice coefficient","Outperforms state-of-the-art deep learning based methods","Yes","No","Not informed","A multi-stage framework with context information fusion structure for skin lesion segmentation"
"Convolutional Neural Network (CNN)","Yes","Not informed","No","Classification","Yes","Melanoma","Publicly available dataset (not specified)","Not informed","Not informed","Segmentation of dermoscopic images","Not informed","Not informed","Not informed","No","Accuracy, Training Accuracy","89.5% accuracy, 93.7% training accuracy","No","No","Not informed","Skin cancer detection using convolutional neural network"
"Not informed","Yes","Not informed","Not informed","Survey of feature extraction methods","Yes","Melanoma, skin cancer","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","A Survey of Feature Extraction in Dermoscopy Image Analysis of Skin Cancer"
"GTCM (Gray-Texture-Covariance-measure) based approach","Yes","New","Yes","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes (multi-level gray filters)","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","GTCM based skin lesion melanoma disease detection approach for optimal classification of medical images"
"Deep convolutional encoder-decoders with aggregated multi-resolution skip connections","Yes","New","Yes","Segmentation","Yes","Melanoma","ISIC 2018 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (U-Net)","Jaccard index","0.837 Jaccard index","No","No","Not informed","Deep convolutional encoder-decoders with aggregated multi-resolution skip connections for skin lesion segmentation"
"Not informed","Yes","Not informed","No","Survey of early detection methods","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","A Survey work on Early Detection methods of Melanoma Skin Cancer"
"Adaptive OTSU Thresholding hardware (AOTh)","Yes","New","No","Segmentation","Not informed","Melanoma and non-melanoma","Benchmark images","Not informed","Not informed","Thresholding","Not informed","Not informed","Not informed","No","Jaccard coefficient, CPU time","Not informed","No","No","Not informed","A hardware implementation of OTSU thresholding method for skin cancer image segmentation"
"Clinically oriented Computer-Aided Diagnostic (CAD) system","Yes","New","Yes","Detection","Yes","Melanoma","ISBI and PH2 datasets","Not informed","Not informed","Chroma based deformable models for lesion localization","Quantitative analysis","Not informed","Not informed","No","Accuracy, Sensitivity, Specificity","88% accuracy (ISBI), 97% accuracy (PH2), 95% sensitivity (ISBI), 97% sensitivity (PH2), 82% specificity (ISBI), 100% specificity (PH2)","No","Yes","Not informed","Automated detection of melanocytes related pigmented skin lesions: A clinical framework"
"New method for border irregularity assessment","Yes","Not informed","No","Border irregularity assessment","Yes","Melanoma","25 skin whole slide images of common melanocytic lesions","25","Not informed","Not informed","Not informed","Not informed","Not informed","No","Jaccard similarity coefficient, detection accuracy","0.798 Jaccard similarity coefficient, 83% detection accuracy","No","No","Not informed","A new approach to border irregularity assessment with application in skin pathology"
"Object Scale-Oriented Fully Convolutional Neural Networks (OSO–FCNs)","Yes","Adaptation","No","Segmentation","Yes","Melanoma","ISIC2016 dataset","Not informed","Not informed","Simple preprocessing","Not informed","Yes (pre-trained VGG-16)","Not informed","Yes","Segmentation accuracy","Higher or very close to state-of-the-art algorithms","Yes","No","Not informed","Skin lesion segmentation using object scale-oriented fully convolutional neural networks"
"Multi-scale contrast based skin lesion segmentation","Yes","New","No","Segmentation","Yes","Melanoma","Two standard datasets (not specified)","Not informed","Not informed","Decomposition of the image into superpixels","Not informed","No","Not informed","Yes","Segmentation rates","High segmentation rates (outperforms some recent state-of-the-art methods)","Yes","Yes","Not informed","Multi-scale contrast based skin lesion segmentation in digital images"
"Integrated FrCN and ResNet-50 model","Yes","New","Yes","Segmentation and Classification","Yes","Melanoma","ISIC 2017 challenge dataset","Not informed","Not informed","Not informed","Not informed","Yes (ResNet-50)","Not informed","No","Accuracy, Jaccard similarity index, F1-score","94.03% segmentation accuracy, 77.11% average Jaccard similarity index, 81.57% classification accuracy, 75.75% F1-score","No","No","Not informed","A Deep Learning Model Integrating FrCN and Residual Convolutional Networks for Skin Lesion Segmentation and Classification"
"Adversarial networks with U-net segmentation network","Yes","New","Yes","Segmentation","Yes","Melanoma","PH2 dataset and ISBI 2016 challenge dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Average accuracy, Dice coefficient","0.97 average accuracy, 0.94 Dice coefficient","Yes","Yes","Not informed","Segmentation of dermoscopy image using adversarial networks"
"Digital processing of optical images","Yes","Not informed","No","Classification","Yes","Melanoma","360 digital images of in vivo skin pigment lesions","360","Not informed","Calibration using a standard for color and spatial calibration","Not informed","Not informed","Not informed","No","Sensitivity, Specificity","97% Sensitivity, 95% Specificity","No","No","Not informed","Differentiation of Pigmented Skin Lesions Based on Digital Processing of Optical Images"
"Local edge-enhanced active contour","Yes","New","No","Segmentation","Yes","Not informed","Dermoscopic images dataset (with ground truth borders)","Not informed","Not informed","Not informed","Comparison with other methods","Not informed","Not informed","Yes","Dice score, Jaccard score","0.886 ±0.094 Dice score, 0.807 ±0.133 Jaccard score","Yes","No","Not informed","Local edge-enhanced active contour for accurate skin lesion border detection"
"Not informed","Yes","Not informed","No","Dermoscopic feature analysis","Yes","Not informed (psoriasis)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Dermoscopic features of psoriasis of the skin, scalp and nails – a systematic review"
"Melanoma Classification System","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Melanoma Classification and Birthmark Mole Detection on Clinical Images"
"Stacked Adversarial Learning","Yes","New","Yes","Segmentation","Yes","Melanoma","ISIC 2017 skin lesion segmentation challenge dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (increasing feature diversity)","Yes","Not informed","More accurate and robust than state-of-the-art methods","Yes","No","Not informed","Improving skin lesion segmentation via stacked adversarial learning"
"Fully Convolutional Neural Network","Yes","New","No","Detection of clinical dermoscopic features","Yes","Melanoma","ISIC-ISBI dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Area under the receiver operator characteristic curve (AUC-ROC) score, Fuzzy Jaccard Index","0.895% AUC-ROC score","Yes","No","Current metrics used to rank models may not well capture the efficacy of the model","Fully Convolutional Neural Networks to Detect Clinical Dermoscopic Features"
"Dense Deconvolutional Network (DDN)","Yes","New","Yes","Segmentation","Yes","Not informed","ISBI 2016 and 2017 skin lesion challenge datasets","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Yes","Yes","Not informed","Dense Deconvolutional Network for Skin Lesion Segmentation"
"Superpixels-based skin lesion segmentation and registration","Yes","New","Yes","Segmentation and Registration","Yes","Not informed","ISIC 2017 challenge dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Best reported results for ISIC 2017 challenge dataset","Yes","No","Not informed","Accurate Segmentation and Registration of Skin Lesion Images to Evaluate Lesion Change"
"Convolutional Neural Network","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Classification accuracy","Not informed","No","No","Not informed","Automatic Diagnosis of Skin Cancer Using Neural Networks"
"Ensemble modeling using Feedforward Neural Network, KNN, LeNet-5 CNN, and VGG-11 CNN","Yes","New","Yes","Classification","Yes","Melanoma","ISIC Archive dataset","Not informed","Not informed","Yes (hair removal)","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Real-time recognition of malignant skin lesions using ensemble modeling"
"SDI+ Algorithm","Yes","New","Yes","Segmentation","Not informed","Malignant skin lesions","ISIC 2017 dataset","Not informed","Not informed","Yes (pre-processing of artifacts)","Not informed","No","Not informed","Yes","Accuracy","Not informed","Yes","No","Not informed","SDI+: A Novel Algorithm for Segmenting Dermoscopic Images"
"New color augmentation method","Yes","Not informed","Yes","Segmentation","Not informed","Not informed","Histological images of human skin","Not informed","Not informed","Yes (color augmentation)","Not informed","Not informed","Yes (new color augmentation method and geometric transformation)","No","Not informed","Not informed","No","No","Not informed","A new color augmentation method for deep learning segmentation of histological images"
"Automated Melanoma Classification using YCbCr color space, k-means clustering, and texture features","Yes","Not informed","Yes","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes (YCbCr color space for segmentation and detection of skin color)","Not informed","Not informed","Not informed","Yes (SVM, ANN, R-F classifier)","Accuracy","90% accuracy using R-F classifier","No","No","Not informed","Automated Melanoma Types and Stages Classification for dermoscopy images"
"Robust learning framework with online uncertainty sample mining and sample re-weighting","Yes","New","Yes","Classification","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Robust learning at noisy labeled medical images: Applied to skin lesion classification"
"Multi-task U-Net","Yes","New","Yes","Segmentation and Classification","Yes","Melanoma","ISIC 2018 Challenges task 2 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Jaccard index","0.433 Jaccard index","Yes","No","Not informed","Lesion attributes segmentation for melanoma detection with multi-task u-net"
"Lymph node segmentation and proliferation index measurement","Yes","New","Yes","Segmentation and measurement","Yes","Melanoma","Biopsy images (76 images)","76","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy, error rate","90% accuracy, average error rate of less than 1.5%","No","No","Not informed","Novel lymph node segmentation and proliferation index measurement for skin melanoma biopsy images"
"ABCD rule and pre-trained CNNs","Yes","Not informed","Yes","Classification","Yes","Melanoma","New database joining two distinct databases","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","No","Accuracy rate, Kappa index","94.9% accuracy rate, 89.2% Kappa index","No","No","Not informed","ABCD rule and pre-trained CNNs for melanoma diagnosis"
"Multivariate statistical tests","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Segmentation of region of interest","Not informed","No","Not informed","No","Average correct classification","Up to 92.67% average correct classification","No","No","Not informed","Melanoma image classification based on color, shape, and texture features using multivariate statistical tests"
"Enhanced Convolutional-Deconvolutional Networks","Yes","New","Yes","Segmentation","Yes","Melanoma","ISBI 2017 skin lesion segmentation challenge dataset","2600 (2000 training, 600 testing)","Not informed","Yes (color information from multiple color spaces)","Not informed","Not informed","Not informed","Yes","Jaccard Index","0.765 average Jaccard Index","Yes (ranked 1st among 21 submissions)","No","Not informed","Improving Dermoscopic Image Segmentation With Enhanced Convolutional-Deconvolutional Networks"
"Not informed","Yes","Not informed","No","Detection","Not informed","Melanoma","Multiple databases (PubMed, AJCC, PH2, EDRA, ISIC melanoma project)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Diagnostic accuracy","Not informed","No","Yes","Diagnostic accuracy is a major issue, cannot replace clinical experience and biopsy procedures","Recent advancement in the early detection of melanoma using computerized tools: An image analysis perspective"
"Multiple Instance Learning (MIL) framework","Yes","New","No","Detection","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Outperformed state-of-the-art techniques","Yes","No","Not informed","Learning to Detect Blue-White Structures in Dermoscopy Images With Weak Supervision"
"Hierarchical deep learning architecture","Yes","New","No","Classification","Yes","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Deep learning for skin cancer diagnosis with hierarchical architectures"
"Deep learning with transfer learning","Yes","Adaptation","No","Classification","Yes","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","No","Accuracy","81.67% accuracy for 3 classes, 77.50% accuracy for 4 classes, 76.00% accuracy for 5 classes","No","No","Not informed","IMAGE CLASSIFICATION OF PRIMARY MORPHOLOGICAL ELEMENTS OF SKIN LESIONS; [КЛАССИФИКАЦИЯ ИЗОБРАЖЕНИЙ ПЕРВИЧНЫХ ЭЛЕМЕНТОВ КОЖНОЙ СЫПИ]"
"DermaKNet","Yes","New","Yes","Diagnosis","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","DermaKNet: Incorporating the Knowledge of Dermatologists to Convolutional Neural Networks for Skin Lesion Diagnosis"
"Fuzzy C-Means-based detection and segmentation","Yes","Not informed","No","Segmentation","Not informed","Melanoma","DermQuest, DermIS, ISIC 2016 datasets","Not informed","Not informed","Yes (Gaussian Filter)","Not informed","No","Not informed","No","Accuracy","99.21% accuracy on DermQuest, 96.05% on DermIS, 96.48% on ISIC 2016","No","Yes","Not informed","Automatic Detection and Segmentation of Melanoma using Fuzzy C-Means"
