"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Convolutional Neural Networks (CNNs) with Grad-CAM and Kernel SHAP","Yes","Not informed","No","Melanoma Detection and Interpretability","Yes","Melanoma","HAM10000 dataset","74","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy and Interpretability","High accuracy, but models may assign importance to irrelevant features","No","No","Difficulty in understanding model predictions and identifying potential failure modes","Deep neural network or dermatologist?"
"Not informed","Yes","Not informed","Not informed","Various (segmentation, classification, etc.)","Not informed","Not informed","Not informed","0","Not informed","Not informed","Not informed","Yes","Not informed","No","Not informed","Not informed","No","No","Not informed","1st MICCAI Workshop on Domain Adaptation and Representation Transfer, DART 2019, and the 1st International Workshop on Medical Image Learning with Less Labels and Imperfect Data, MIL3ID 2019, held in conjunction with 22nd International Conference on Medical Image Computing and Computer- Assisted Intervention, MICCAI 2019"
"DermGAN (Generative Adversarial Network)","Yes","Adaptation of Pix2Pix architecture","No","Synthetic generation of clinical skin images with pathology","Not informed","Various skin conditions","Not informed","66","Not informed","Not informed","Human Turing test and objective GAN evaluation metrics","Not informed","Yes, using synthetic images for training a skin condition classifier","Yes, compared to baseline model","GAN evaluation metrics and classification performance","Comparable performance to baseline model, with improvement on rare but malignant conditions","No","No","Not informed","DermGAN: Synthetic Generation of Clinical Skin Images with Pathology"
"Not informed","Yes","Not informed","No","Computer Aided Diagnosis (CAD) for skin disease","Yes","Various skin diseases","XiangyaDerm dataset","107,565","Not informed","Not informed","Cross-test experiment with Derm101","Not informed","Not informed","Yes, comparison of several CNNs (InceptionResNetV2)","Top-1 and Top-3 accuracies","0.588 (Top-1) and 0.764 (Top-3) using InceptionResNetV2","No","Yes, cross-test experiment with Derm101","CNN model has different test effects on different ethnic datasets","XiangyaDerm: A clinical image dataset of asian race for skin disease aided diagnosis"
"Not informed","Yes","Not informed","Not informed","Various (image segmentation, classification, etc.)","Not informed","Melanoma","Not informed","0","Not informed","Not informed","Not informed","Yes","Not informed","No","Not informed","Not informed","No","No","Not informed","16th International Conference on Image Analysis and Recognition, ICIAR 2019"
"Convolutional Neural Network (CNN) with Light Separation","No","New","Yes","Phenotyping of epicuticular waxes on grapevine berries","Yes","Not applicable","Not informed","13","Not informed","Illumination-separated images","Method validation over six grapevine cultivars","Not informed","Not informed","No","Accuracy (up to 97.3%) and correlation coefficient (r = 0.76)","Accuracies up to 97.3%","No","Yes, six grapevine cultivars","Not informed","Automated phenotyping of epicuticular waxes of grapevine berries using light separation and convolutional neural networks"
"Not informed","No","Not informed","Not informed","Analysis of immune tolerance mechanisms in psoriasis","Not informed","Not applicable (psoriasis)","Not informed","5","Not informed","Not informed","Not informed","Not informed","Not informed","No","ELISA method, Psoriasis Area Severity Index (PASI), body surface area (BSA), Physician Global Assessment (PGA)","Increased concentrations of sNRP-1 in psoriatic patients","No","No","Not informed","Analysis of circulating soluble programmed death 1 (PD-1), neuropilin 1 (NRP-1) and human leukocyte antigen-G (HLA-G) in psoriatic patients"
"CNN classifier and Generative Adversarial Network (GAN)","Yes","New","Yes","Biomarker localization","Yes","Not informed","Diabetic retinopathy images and skin images","20","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","State-of-the-art performance","Effective localization of biomarkers","Yes","Yes","Not informed","Biomarker localization by combining CNN classifier and generative adversarial network"
"Algorithm for breast cancer detection through thermographic image segmentation and processing","No","New","Yes","Breast Cancer Pre-Diagnosis","Yes","Breast Cancer","Not informed","0","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Mammography limitations, such as ionizing radiation and limited number of tests per year","Processing Thermographic Images for the Pre Diagnosis of Breast Cancer"
"Not informed","Yes","Not informed","Not informed","Review and analysis of skin detector research","Not informed","Not informed","ScienceDirect, IEEE Xplore, Web of Science","14","Not informed","Not informed","Not informed","Not informed","Not informed","No","Statistical analysis of previous studies","Not informed","No","No","Open challenges and recommendations discussed","The Landscape of Research on Skin Detectors: Coherent Taxonomy, Open Challenges, Motivations, Recommendations and Statistical Analysis, Future Directions"
"3D-printed templates for target volume localization","No","Not informed","No","Target volume localization for brachytherapy in breast cancer patients","Not informed","Breast cancer","Not informed","22","Not informed","Not informed","Visual assessment, X-ray findings, and intraclass correlation coefficient","Not informed","Not informed","Yes, compared with standard method","Overlap between target volume projections, X-ray findings, and intraclass correlation coefficient","Moderate agreement for both medial and lateral skin projections","No","No","Not informed","Individualized 3D-printed templates for high-dose-rate interstitial multicathether brachytherapy in patients with breast cancer"
"Two-dimensional phasor-based approach (μMAPPS)","Yes","New","No","Tumor micro-architecture analysis and segmentation","Yes","Various","Not informed","19","Not informed","Not informed","Not informed","Not informed","Not informed","No","Fibril entropy parameter","Effective in enlightening tumor edges and automatic segmentation","No","Yes (two cancer xenografts in mice)","Not informed","Whole-section tumor micro-architecture analysis by a two-dimensional phasor-based approach applied to polarization-dependent second harmonic imaging"
"Deep Convolutional Neural Networks (CNNs)","Yes","New","No","Classification and Screening of Skin Lesions","Yes","Various","Dataset of 1000 clinical images","1000","Not informed","Not informed","Not informed","Yes (feature extraction and extending model)","Not informed","No","Not informed","Comparable to dermatologists' competence","No","No","Not informed","Screening feasibility and comparison of deep artificial neural networks algorithms for classification of skin lesions"
"Cuckoo Search Algorithm (CSA) for outline curve calculation","Yes","Not informed","No","Machine-driven segmentation of dermoscopy images","Yes","Melanoma","Not informed","4","Not informed","Not informed","Not informed","Not informed","Not informed","No","Least-squares sense","Good approximation of outline curve","No","No","Not informed","Computational intelligence CSA-based approach for machine-driven calculation of outline curves of cutaneous melanoma"
"Computer-assisted diagnosis (CAD) systems","Yes","Not informed","No","Diagnosis of skin cancer in adults","Not informed","Melanoma, Basal Cell Carcinoma (BCC), Cutaneous Squamous Cell Carcinoma (cSCC)","Not informed","118","No","Not informed","Not informed","Not informed","Not informed","Yes, compared to dermoscopy","Sensitivity and specificity","Derm-CAD: sensitivity of 90.1% (95% CI 84.0% to 94.0%) and specificity of 74.3% (95% CI 63.6% to 82.7%). MSI-CAD: sensitivity of 92.9% (95% CI 83.7% to 97.1%) and specificity of 43.6% (95% CI 24.8% to 64.5%)","No","Yes, multiple datasets were used","Poor reporting, high risk of bias, and limited generalizability","Computer-assisted diagnosis techniques (dermoscopy and spectroscopy-based) for diagnosing skin cancer in adults"
"Second-harmonic generation (SHG) imaging analysis","Yes","Not informed","Yes","Distinguish between sarcoidosis and tuberculoid leprosy","Yes","Not informed","Skin biopsies of 33 patients with TL and 24 with sarcoidosis","9","No","Not informed","Statistical significance (p = 0.02)","Not informed","Not informed","Yes","First-order statistics (FOS) and second-order statistics, such as gray-level co-occurrence matrix (GLCM)","Contrast demonstrated statistical significance, being higher in sarcoidosis","No","No","Insufficient differentiating power for most tested FOS and GLCM parameters when used individually","Second-harmonic generation imaging analysis can help distinguish sarcoidosis from tuberculoid leprosy"
"Fully Convolutional Neural Networks","Yes","New","No","Anatomical Segmentation","Yes","Not informed","Optical Coherence Tomography images","7","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy","90% accuracy","No","No","Not informed","High resolution human skin image segmentation by means of fully convolutional neural networks"
"HCDS (Hybrid Convolution with Deeply Supervised Learning)","Yes","Adaptation","Yes","Segmentation of lesions in skin images","Yes","Not informed","Not informed","2","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Superior to original U-Net's results","No","No","Not informed","Segmentation of lesions in skin image based on salient object detection with deeply supervised learning"
"Recurrent Residual Convolutional Neural Networks based U-Net (R2U-Net)","No","New","Yes","Nuclei Segmentation","Yes","Not informed","Data Science Bowl Grand Challenge dataset","250","Not informed","Not informed","Testing phase","Not informed","Not informed","Yes","Dice Coefficient (DC)","92.15% segmentation accuracy","Yes","No","Not informed","Nuclei Segmentation with Recurrent Residual Convolutional Neural Networks based U-Net (R2U-Net)"
"Not informed","No","Not informed","Yes","Characterizing skin structure and function","Yes","Not informed","Not informed","45","Not informed","Not informed","Statistical analysis using linear mixed effect model regression","Not informed","Not informed","No","Corneometer readings and chemically specific images","Water loss in stratum corneum correlated with corneometer readings","No","No","Ex vivo model system may not accurately represent in vivo conditions","Characterizing the stratum corneum structure, barrier function, and chemical content of human skin with coherent Raman scattering imaging"
"Illumination correction algorithm using Gabor Local Mesh Patterns","Yes","Not informed","Yes","Melanoma detection and diagnosis","Yes","Melanoma","Not informed","0","Not informed","Yes (hair removal, illumination correction)","Not informed","Not informed","Not informed","Yes","Not informed","Outperforms other methods considered in the paper","No","No","Not informed","Estimation of Illumination Map from Dermoscopy Images for Extracting Differential Structures Using Gabor Local Mesh Patterns"
"Not informed","Yes","Not informed","Not informed","Immune suppression in melanoma and inflamed skin","Not informed","Melanoma","Not informed","133","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Disruption of IFNγ-dependent crosstalk boosts T cell accumulation in infected and malignant skin","No","No","Not informed","IFNγ-activated dermal lymphatic vessels inhibit cytotoxic T cells in melanoma and inflamed skin"
"Joint segmentation and characterization algorithm","Yes","New","Yes","Segmentation and Characterization of dermis in ultrasound images","Yes","Not informed","Ultrasound images of skin (cohort of 76 women)","27","Not informed","Non-parametric active contour combining texture criterion, epidermis indicator map and geometric constraint","Experimental study on a cohort of 76 women separated into 2 groups of different ages","Not informed","Not informed","Yes (compared to MGVR indicator and scoring by experts)","p-value, success rate","Combined score achieves 84% success in evaluating skin photo-aging","No","No","Not informed","Joint segmentation and characterization of the dermis in 50 MHz ultrasound 2D and 3D images of the skin"
"Otsu-Lognormal segmentation method","Yes","New","No","Segmentation","Not informed","Various","Not informed","2","Not informed","Thresholding","Comparison with traditional Otsu's-Gaussian method","Not informed","Not informed","Yes","Threshold values and visual inspection of segmented images","Better threshold values and segmented images than traditional Otsu's-Gaussian method","No","No","Not informed","Segmenting skin images for cancer detection"
"Deep Residual Network with Regularised Fisher Framework","Yes","New","Yes","Detection of Melanoma","Yes","Melanoma","ISBI 2016, MED-NODE, PH2, and ISBI 2017 databases","45","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Efficacy of proposed approach compared to state-of-the-art methodologies","Yes","Yes","Not informed","Deep residual network with regularised fisher framework for detection of melanoma"
"Lesion color adaptation technique","Yes","Not informed","No","Diagnosis and Classification","Yes","Various skin disorders (including Papillomas)","Not informed","3","Not informed","Color adaptation technique","Not informed","Not informed","Not informed","Yes","Sensitivity improvement (up to 150%)","68% sensitivity in Papillomas","No","No","Not informed","Skin disorder diagnosis assisted by lesion color adaptation"
"DeepPCA Based Objective Function for Melanoma Detection","Yes","New","Yes","Melanoma Detection and Classification","Yes","Melanoma","MEDNODE database","3","Not informed","Not informed","Not informed","No","Not informed","Yes","Classification accuracy","Efficient for melanoma skin cancer detection task","No","No","Not informed","DeepPCA Based Objective Function for Melanoma Detection"
"Image Processing Algorithms (Otsu thresholding and Morphological operations)","Yes","Not informed","Yes","Segmentation and Identification of Melanoma","Yes","Melanoma","Not informed (170 dermoscopy images)","25","Not informed","Yes (image enhancement)","Not informed","Not informed","Not informed","No","Classification accuracy and Total Dermatascopy Score (TDS)","Not informed","No","No","Not informed","Identification of Melanoma in Dermoscopy Images Using Image Processing Algorithms"
"Denoising Adversarial Autoencoder","Yes","New","Yes","Classification","Yes","Various","Not informed","18","Not informed","Denoising","Not informed","Not informed","Not informed","Yes","Classification performance, sensitivity","Superior classification performance, especially at high sensitivity values","Yes","No","Not informed","Denoising adversarial autoencoders: Classifying skin lesions using limited labelled training data"
"Two-step deep learning model","Yes","New","Yes","Classification of malignant pigmented skin lesions","Yes","Melanoma, basal cell carcinoma, squamous cell carcinoma","Not informed","44","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy","Highest accuracy for melanocytic and non-melanocytic skin lesions, higher accuracy for melanocytic malignant skin lesions","No","No","Non-melanocytic malignant skin lesions could not be investigated in detail due to lack of available datasets","Deep Learning for Two-Step Classification of Malignant Pigmented Skin Lesions"
"Non-parametric classification framework","Yes","Not informed","No","Cancer detection and diagnosis","Yes","Melanoma","Dataset of 116 patients with 124 hyperspectral images","30","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy and false negative rates","Up to 100% detection of suspicious lesions","No","No","Some false positives","On the spectral signature of melanoma: A non-parametric classification framework for cancer detection in hyperspectral imaging of melanocytic lesions"
"Deep learning architectures (including Capsule Network)","Yes","New","Yes","Medical image analysis and disease prediction","Yes","Various (including skin cancer)","Not informed","30","Not informed","Not informed","Not informed","Yes","Not informed","No","Not informed","Not informed","No","No","Not informed","Advances in deep learning techniques for medical image analysis"
"Image Analysis Model for Skin Disease Detection","Yes","Not informed","No","Detection and Diagnosis","Yes","Various skin diseases","Not informed","30","Not informed","Yes (filtering, conversion to grey)","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Low contrast between lesions and skin, visual similarity between disease and non-disease areas","Image Analysis Model for Skin Disease Detection: Framework"
"Clustering-based Thresholding Method using HSV Color Space","Yes","New","No","Segmentation and Detection of Human Skin","Yes","Melanoma","Not informed","7","Not informed","Color reduction in HSV system","Comparison with other algorithms","Not informed","Not informed","Yes","Sensitivity and Specificity","Low sensitivity (54.6333%) and high specificity (92.6390%)","No","No","Not informed","A New Clustering-based Thresholding Method for Human Skin Segmentation Using HSV Color Space"
"Embeddable real-time tool using machine learning and image processing","Yes","Not informed","Yes","Detection and characterization of skin lesions","Yes","Skin cancer","Not informed","0","Not informed","Yes","Not informed","Not informed","Not informed","No","Detection and characterization performances","Not informed","No","No","Not informed","Embeddable real time tool for automatic skin lesions characterization"
"3D Convolutional Neural Network (CNN)","No","New","Yes","Classification and Segmentation of Pressure Ulcer Tissues","Yes","Not informed","100 color RGB PU images","7","Not informed","Yes (Gaussian kernel smoothing)","Not informed","Not informed","Not informed","No","Area under the curve (AUC), Percentage area distance (PAD), Dice similarity coefficient (DSC)","AUC of 96%, PAD of 10%, and DSC of 93%","No","No","Not informed","An Automated Classification Framework for Pressure Ulcer Tissues Based on 3D Convolutional Neural Network"
"Chan-Vese segmentation with Tsallis's Thresholding and Jaya Algorithm","Yes","Not informed","Yes","Evaluation of Skin-Melanoma","Not informed","Melanoma","ISBI2016 grand-challenge dataset","8","Not informed","Thresholding based on Tsallis Entropy and Jaya Algorithm","Comparison with Ground-Truth picture","Not informed","Not informed","Yes (single-step procedure based on CV)","Picture-Similarity-Measures (PSM)","Two-level procedure offers better PSMs compared with single-step procedure","No","No","Not informed","Skin-Melanoma Evaluation with Tsallis's Thresholding and Chan-Vese Approach"
"Dense Connected Deconvolutional Network (DDN)","Yes","New","Yes","Segmentation","Yes","Various","ISBI 2016 and 2017 skin lesion challenge dataset","9","Not informed","Not informed","End-to-end training","Not informed","Not informed","No","Not informed","Effective on ISBI 2016 and 2017 datasets","No","Yes","Not informed","Skin Lesion Segmentation via Dense Connected Deconvolutional Network"
"Supervised level sets with variational formulation and Gaussian mixture models","Yes","New","Yes","Segmentation of lesions in dermoscopy images","Not informed","Skin cancer","PH2 dermoscopy imaging dataset","0","Not informed","Not informed","Comparison with state-of-the-art methods","Not informed","Not informed","Yes","Not informed","Outperforms other state-of-the-art methods","Yes","No","Not informed","Supervised level sets for dermoscopic image segmentation"
"Domain knowledge-based hair detection and lesion segmentation algorithm","Yes","New","Yes","Hair detection and lesion segmentation","Yes","Melanoma","PH2 and ISBI 2016 datasets","1100 (200 from PH2 and 900 from ISBI 2016)","Not informed","Yes","Statistical and quantitative analyses","Not informed","Not informed","No","Accuracy, sensitivity, specificity, overlap scores","Average accuracy of 93.4% and 94.6% on PH2 and ISBI 2016 datasets respectively","No","Yes","Not informed","Hair detection and lesion segmentation in dermoscopic images using domain knowledge"
"Digital image processing with feature extraction and voting scheme","Yes","Not informed","Yes","Detection and Classification of skin lesions","Yes","Melanoma","Free database (not specified)","15","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy","High accuracy (not specified)","No","No","Not informed","Advanced processing techniques for detection and classification of skin lesions"
"Compact Convolutional Neural Network (CNN) model","Yes","New","No","Classification and Recognition","Yes","Melanoma","PHDB melanoma dataset","11","Not informed","Data augmentation","Not informed","Not informed","Yes","Yes","Accuracy","1% higher accuracy than baseline model, with 60% fewer parameters","No","No","Not informed","New Compact Deep Learning Model for Skin Cancer Recognition"
"Deep Convolutional Neural Networks","Yes","Adaptation","No","Binary Classification (Melanoma/Not Melanoma)","Yes","Melanoma","ImageNet dataset","4","Not informed","No lesion segmentation or higher level image processing tasks required","Not informed","Yes, with and without fine-tuning","Not informed","No","Not informed","Enthusiastic results obtained using the android application","No","No","Not informed","Melanoma Screening Using Deep Neural Networks"
"Deep Learning with Convolution Neural Network","Yes","New","No","Segmentation","Yes","Melanoma","PH2 and ISIC 2017 datasets","3","Not informed","Not informed","Not informed","Not informed","Not informed","No","Dice Coefficient","92.3% for PH2 Dataset and 85.5% for ISIC 2017 Dataset","No","Yes","Not informed","Learning based segmentation of skin lesion from dermoscopic images"
"SkinNet: A modified version of U-Net","Yes","Adaptation","Yes","Segmentation","Yes","Various","ISBI 2017 challenge dataset","71","Not informed","Not informed","5-fold cross validation","Not informed","Not informed","Yes","Dice coefficient, Jaccard index, Sensitivity","Average DC: 85.10, Average JI: 76.67, Average SE: 93%","Yes","No","Not informed","SkinNet: A Deep Learning Framework for Skin Lesion Segmentation"
"Multimodal deep learning classifier","Yes","New","Yes","Classification","Yes","Melanoma and other skin lesions","Custom dataset of 2917 cases","251","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","AUC, mAP","AUC 0.866 (binary classification), mAP 0.729 (multiclass classification)","No","No","Not informed","Multimodal skin lesion classification using deep learning"
"Color Labeled Generative Style Transfer Network","Yes","New","Yes","Melanoma Segmentation","Yes","Melanoma","Not informed","13","No","Data augmentation using GAN","Not informed","Yes","Yes, using synthetic images generated by GAN","Yes, compared to traditional binary labels","Mean average error","Lower mean average error and improved melanoma image segmentation","No","No","Not informed","Controlled Synthesis of Dermoscopic Images via a New Color Labeled Generative Style Transfer Network to Enhance Melanoma Segmentation"
"Not informed","Yes","Not informed","No","Detection and Diagnosis","Yes","Various","Not informed","0","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Challenges in early detection of skin cancer, especially malignant melanoma","Principles of skin cancer detection in image processing: Challenges and techniques"
"Convolutional Neural Network with Parameterized Activation Function","Yes","New","No","Classification","Yes","Melanoma","ISIC 2018 Skin Lesion Analysis towards Melanoma Detection","30","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Excellent results in melanoma recognition","No","No","Not informed","Convolutional Neural Network Algorithm with Parameterized Activation Function for Melanoma Classification"
"U-Net and Dense Residual U-Net","Yes","New","No","Segmentation of diseased and healthy skin","Yes","Not informed","Clinical photographs from a primary care network","400","Not informed","Not informed","Direct transfer, direct training, and fine-tuning","Yes","Not informed","Yes (U-Net vs. Dense Residual U-Net)","Jaccard index","0.89 Jaccard index with fine-tuning using U-Net","No","Yes (3 public segmentation datasets of healthy skin)","Need for adequate representative data of diseased skin","Segmentation of Both Diseased and Healthy Skin from Clinical Photographs in a Primary Care Setting"
"Hybrid descriptor combining ABCD rule, texture features and transfer learning","Yes","New","Yes","Classification of melanoma or non-melanoma skin lesions","Yes","Melanoma","Two public image databases","9","Not informed","Not informed","Not informed","Yes","Not informed","No","Accuracy and Kappa index","92.1% accuracy and 0.8346 Kappa index","No","Yes","Not informed","Combining ABCD Rule, Texture Features and Transfer Learning in Automatic Diagnosis of Melanoma"
"Not informed","Yes","Not informed","No","Detection and Classification","Yes","Melanoma","Not informed","53","Not informed","Yes (hair removal, de-noise, sharpening, resize)","Not informed","Not informed","Not informed","Yes (comparison of state-of-the-art algorithms)","Not informed","Not informed","Yes","No","Not informed","Research on Skin Cancer Cell Detection Using Image Processing"
"Ensemble of Deep Neural Networks (AlexNet, VGGNet, GoogLeNet)","Yes","New","Yes","Classification","Yes","Melanoma","ISBI 2017 challenge on Skin Lesion Analysis Towards Melanoma Detection","73","Not informed","Not informed","Test database of ISBI 2017 challenge","Yes (using pre-trained CNNs)","Not informed","Yes (compared to individual member CNNs)","Not informed","Competitive results, outperformed all member CNNs","No","No","Not informed","Classification of Skin Lesions Using An Ensemble of Deep Neural Networks"
"Fully Convolutional Network (FCN) with Residual Architecture and CRF","Yes","New","Yes","Segmentation","Yes","Melanoma","Not informed","7","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Segmentation sensitivity","95.6% segmentation sensitivity","Yes","No","Not informed","Fast Skin Lesion Segmentation via Fully Convolutional Network with Residual Architecture and CRF"
"Multi-target Deep Convolutional Neural Network (DCNN)","Yes","New","Yes","Segmentation and Classification","Yes","Melanoma and Seborrheic Keratosis","International Skin Imaging Collaboration (ISIC) 2017 Challenge","17","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Superiority over single model with one target only","No","No","Not informed","Skin Lesion Analysis by Multi-Target Deep Neural Networks"
"Novel real-time approach for detection and segmentation of abnormal facial regions","No","Not informed","No","Detection and Segmentation of Facial Disorders","Yes","Not informed","Not informed","10","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy and processing time","Efficient for segmentation of abnormal regions","No","No","Not informed","Automated Detection of Facial Disorders (ADFD): a novel approach based-on digital photographs"
"Deep Neural Networks (DNNs) and Convolutional Neural Networks (CNNs)","Yes","New","Yes","Automatic Medical Diagnosis","Yes","Various","Not informed","0","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy","90% (±0.8%) for Top-5 symptom-based diagnoses, and 91% (±0.2%) for visual skin diseases","Yes","No","Not informed","Low-Cost Device Prototype for Automatic Medical Diagnosis Using Deep Learning Methods"
"Not informed","Yes","Not informed","No","Review and evaluation of skin cancer diagnosis apps","Not informed","Skin cancer","Web of Science, Science Direct, IEEE explore","82","Not informed","Not informed","Not informed","Not informed","Not informed","No","Error rate, time complexity, reliability","Not informed","No","No","Open issues in evaluation and benchmarking","A review on smartphone skin cancer diagnosis apps in evaluation and benchmarking: coherent taxonomy, open issues and recommendation pathway solution"
"Statistical Analysis and Bit Plane Slicing","Yes","New","Yes","Segmentation","Yes","Melanoma","Not informed","0","Not informed","Hole filling operation, Mathematical Morphology","Comparison with annotated images","Not informed","Not informed","No","Overlapping score, Correlation coefficient, Sensitivity","Average overlapping score: 91.59%, Average correlation coefficient: 92.07%, Average sensitivity: 94.33%","No","No","Not informed","An Imaging Method for Automated SkinLesion Segmentation using Statistical Analysis and Bit Plane Slicing"
"Hybrid Classifier (Convolutional Neural Network and Support Vector Machine)","Yes","New","Yes","Classification and Detection of Cancer Cells","Yes","Melanoma and Leukemia","Not informed","3","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","High performance, low power consumption and low hardware utilization on Zync SoC FPGA platform","No","No","Not informed","Hardware Implementation of Hybrid Classifier to Detect Cancer Cells"
"Image processing techniques (watershed method, edge detection, morphological operations)","Yes","Not informed","Yes","Analyzing skin pigment discoloration on cheeks","Yes","Not informed","Not informed","2","Not informed","Yes (median filtering, thresholding)","Visual examination by skin specialist","Not informed","Not informed","No","Accuracy of mathematical analysis","94.88 percent accuracy","No","No","Not informed","Analyzing Skin Pigment Discoloration on Cheeks by Using Image Processing"
"Entropy PAL MCET using Gaussian Distribution","Yes","New","No","Segmentation","Not informed","Melanoma","Not informed","1","Not informed","Thresholding","Not informed","Not informed","Not informed","Yes (MCET with Poisson distribution)","Optimal threshold estimation","Better estimation of optimal threshold than MCET with Poisson distribution","No","No","Not informed","Skin Cancer Segmentation with Entropy PAL MCET using Gaussian Distribution"
"Ensemble of deep convolutional neural networks","Yes","New","Yes","Classification","Yes","Melanoma","ISBI 2017 challenge on Skin Lesion Analysis Towards Melanoma Detection","341","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Area under the receiver operating characteristic curve (AUC-ROC)","Average AUC-ROC of 0.891 for 3-class classification task","Yes","No","Requires thousands of labeled images per class for training","Skin lesion classification with ensembles of deep convolutional neural networks"
"Statistical and Histogram-based Features with Neural Network Classifiers","Yes","New","Yes","Identification of Skin Tumours","Yes","Melanoma and Melanocytic Nevi","PH2 database","4","Not informed","Yes","Not informed","Not informed","Not informed","No","Mean and Standard Deviation of Features","Higher values of mean and standard deviation for malignant melanoma","No","No","Not informed","Identification of skin tumours using statistical and histogram based features"
"U-Nets with pre- and post-processing techniques","Yes","Adaptation","Yes","Segmentation","Yes","Melanoma","2017 ISBI Challenges on Skin Lesion Analysis Towards Melanoma Detection","12","Not informed","Yes (contrast enhancement, artifact removal, vignette correction)","Comparison with challenge finalists","Not informed","Local binary patterns and wavelet decomposition","Yes (comparison with challenge winners)","Jaccard Index","Improved performance using wavelet decomposition","No","No","Performance fell short of challenge winners","The Effects of Image Pre- and Post-Processing, Wavelet Decomposition, and Local Binary Patterns on U-Nets for Skin Lesion Segmentation"
"Machine learning aided tumor diagnosis","Yes","Not informed","No","Tumor diagnosis and prognosis","Yes","Various (breast, skin, lung, prostate, cervical)","Not informed","2","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","Yes","Not informed","Machine learning aided tumor diagnosis"
"Not informed","Yes","Not informed","No","Early detection of cutaneous radiation injury","Yes","Not informed","In vivo mouse model","4","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Detection of cellular changes","Both RCM and TPM detected changes before clinical symptoms","No","No","Not informed","Comparison between reflectance confocal microscopy and 2-photon microscopy in early detection of cutaneous radiation injury in a mouse model in vivo"
"Not informed","Yes","Not informed","No","Early detection of cutaneous radiation injury","Yes","Not informed","In vivo mouse model","4","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Detection of cellular changes","Both RCM and TPM detected changes before clinical symptoms","No","No","Not informed","Comparison between reflectance confocal microscopy and 2-photon microscopy in early detection of cutaneous radiation injury in a mouse model in vivo"
"Not informed","Yes","Not informed","No","Early detection of cutaneous radiation injury","Yes","Not informed","In vivo mouse model","4","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Detection of cellular changes","Both RCM and TPM detected changes before clinical symptoms","No","No","Not informed","Comparison between reflectance confocal microscopy and 2-photon microscopy in early detection of cutaneous radiation injury in a mouse model in vivo"
"Not informed","Yes","Not informed","No","Early detection of cutaneous radiation injury","Yes","Not informed","In vivo mouse model","4","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Detection of cellular changes","Both RCM and TPM detected changes before clinical symptoms","No","No","Not informed","Comparison between reflectance confocal microscopy and 2-photon microscopy in early detection of cutaneous radiation injury in a mouse model in vivo"
"Not informed","Yes","Not informed","No","Early detection of cutaneous radiation injury","Yes","Not informed","In vivo mouse model","4","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Detection of cellular changes","Both RCM and TPM detected changes before clinical symptoms","No","No","Not informed","Comparison between reflectance confocal microscopy and 2-photon microscopy in early detection of cutaneous radiation injury in a mouse model in vivo"
"Not informed","Yes","Not informed","No","Early detection of cutaneous radiation injury","Yes","Not informed","In vivo mouse model","4","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Detection of cellular changes","Both RCM and TPM detected changes before clinical symptoms","No","No","Not informed","Comparison between reflectance confocal microscopy and 2-photon microscopy in early detection of cutaneous radiation injury in a mouse model in vivo"
