"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Fine-tuned VGG16 with personalized dampening layer","Yes","Adaptation","No","Classification","Yes, using convolutional layers to extract features such as edges and plots","Not applicable (Monkeypox is a viral disease)","Not specified","Not informed","Not informed","Data augmentation, size standardization, and normalization","Assessed using precision as the power metric","Yes, fine-tuning VGG16 pre-trained on ImageNet for skin lesion classification","Yes, used to improve model robustness and adaptability","No","Precision","High precision results obtained for Monkeypox and related diseases classification","No","Not informed","Not informed","Monkeypox Skin Lesion Recognition Using Fine-Tuned Transfer Learning Techniques"
"Not informed","Yes","Not informed","Yes, combination of standard image processing methods and state-of-art machine learning and deep learning techniques","Segmentation","Not informed","Skin diseases","Annotated datasets (not specified)","Not informed","Not informed","Preprocessing techniques (not specified)","Performance metrics (not specified)","Yes, recorded trend of transfer learning","Not informed","No","Metrics contributing to performance of segmentation (not specified)","Not informed","No","Not informed","Factors affecting model performance, such as skin tone and lesion variability, lighting conditions","Skin Disease Segmentation: Current Practices, Techniques and Emerging Trends"
"AI model for contact dermatitis image classification with advanced labeling and annotation strategies","Yes","Existing, but improved with new data labeling and annotation methodologies","No","Classification","Not informed","Contact dermatitis (including atopic dermatitis)","Diverse dataset of images representing various skin conditions, with an emphasis on contact dermatitis","Not informed","Not informed","Precise delineation of affected areas and thorough description of clinical features","Comparison of model performance using precision, recall, and F1 score against models trained on datasets with less rigorous annotations","Not informed","Automated annotations guided by dermatological expertise","Yes, compared to models trained on datasets with less rigorous annotations","Precision, recall, and F1 score","Average precision: 83%, average recall: 86%, average F1 score: 0.83","No","Not informed","Not informed","Enhancing the Accuracy of Contact Dermatitis Image Classification Through Advanced Labeling and Annotation Strategies Sequencing"
"CTVTL-CLIP (Conditional Visuo-Textual Prompt Learning for Medical Image Analysis)","Yes","New","Yes, combining CLIP's text and visual encoders with a lightweight pretrained network","Classification","Not informed","Gastric lesions, skin lesions, and stenosis in angiographies","Endoscopy image dataset, skin lesion classification dataset, and angiographies dataset","Not informed","Not informed","Not informed","Experimental results on three medical image analysis tasks","Yes, using pre-trained CLIP model and fine-tuning for specific tasks","Not informed","Yes, compared with traditional classifiers (CNNs and vision transformers) and state-of-the-art methods","Performance comparison on medical image analysis tasks","CTVTL-CLIP outperforms traditional classifiers and state-of-the-art methods using fewer learnable parameters","Yes","Yes, tested on three different datasets (endoscopy images, skin lesions, and angiographies)","Not informed","Conditional Visuo-Textual Prompt Learning for Medical Image Analysis"
"Weakly supervised learning approach for wound and periwound segmentation","Yes","New","No","Segmentation","Not informed","Not applicable (wound and periwound segmentation)","FUSeg and WOUNDSEG datasets","Not informed","Not informed","Morphological operations to deal with incomplete annotations","Not informed","Not informed","Not informed","No","Segmentation accuracy","Improved segmentation accuracy using pixel-based weighted loss function","No","Yes, tested on FUSeg and WOUNDSEG datasets","Not informed","Dependency-Related Skin Lesion Bed and Periwound Segmentation Trained on Partially Annotated Clinical Images"
"VGG19","Yes","Existing","No","Classification","Not informed","Skin-related diseases (not specified)","Not informed (training and test data sets used)","Not informed","Not informed","Not informed","Comprehensive evaluation on training and test data sets","Yes, using pre-trained VGG19 model","Not informed","Yes, compared with VGG16 model","Accuracy (98.87% on training set and 98.22% on test set)","VGG19 performed significantly better than previous models","No","Not informed","Not informed","Enhancing Skin Disease Diagnosis Through Advanced Imaging Classification Techniques"
"Deep learning models (VGG-19, ResNet-50 v2, EfficientNetB1)","No","Existing","Yes, utilizing multiple deep learning algorithms and pre-trained models","Classification","Not informed","Lung cancer (adenocarcinoma, squamous cell carcinoma, small cell lung cancer)","Histopathology images of lung cancer","Not informed","Not informed","Variations in staining techniques and presence of confounding factors","Performance evaluation using metrics such as specificity, F-score, sensitivity, and precision","Yes, utilizing pre-trained models (VGG-19, ResNet-50 v2, EfficientNetB1)","Not informed","No","Specificity, F-score, sensitivity, and precision","Deep learning models show exceptional performance in computer vision tasks including image classification","No","Not informed","Challenges such as complexity and heterogeneity of histopathological images, variations in staining techniques, and presence of confounding factors","Deep Learning-Based Lung Cancer Histopathology Classification: Emphasizing Accuracy and Customisation"
"CADx (Computer-Aided Diagnosis) system using ConvNeXt model","Yes","Existing, with optimization and augmentation techniques applied","No","Classification of cat skin conditions into inflammatory lesions, non-inflammatory lesions, and normal images","Using ConvNeXt model based on CNN to learn regional information and features","Not applicable (cat skin diseases)","Dataset of cat skin diseases","Not informed","Not informed","Using Mixup, an image augmentation technique to learn various patterns of skin lesions","Model accuracy comparison with and without optimization and augmentation techniques","Not informed","Yes, using Mixup to improve model performance","Yes, compared original dataset with optimized and augmented models","Model accuracy improvement (3.35% and 3.97%)","0.8741 model accuracy when both Mixup and Lookahead Optimizer are applied","No","Not informed","Not informed","A Study on Optimization and Augmentation Techniques for Improving the Performance of CADx System for Cat Skin Disease; [반려묘 피부질환 컴퓨터 보조 진단 시스템 성능 고도화를 위한 최적화 및 증대기법에 관한 연구]"
"Prototypical Network for Few-Shot Learning","Yes","Existing, adapted for few-shot learning","No","Classification","Not informed","Various skin diseases","Annotated skin diseases image dataset (not specified)","Few, less than 1% of total data required","Not informed","Not informed","Simulation results on performance parameters","Not informed","Not informed","No","Performance parameters (not specified)","Proposed approach shows promise for skin disease prediction with limited annotated data","No","Not informed","Insufficient annotated skin diseases image dataset","Prototypical Network for Few Shots Learning Framework Adoption on Skin’s Disease Prediction Modeling"
"VINMOBCONCAT (hybrid model) and pre-trained Inception-V3","Yes, but not specifically for skin lesion analysis or cancer detection","Hybrid","Yes, using transfer learning and hybrid model","Classification of insect bites on human skin","Not informed","Not applicable (insect bites)","Not specified","Not informed","Not informed","Not informed","Accuracy comparison using pre-trained Inception-V3 and proposed VINMOBCONCAT model","Yes, using pre-trained Inception-V3","Not informed","No (only compared the performance of two different models)","Accuracy","93% accuracy for insect bite classification and 95% accuracy for skin vs. object classification","No","Not informed","Not informed","Multiclass Classification of Insect Bites Using Deep Learning Techniques"
"Deep Transfer Learning","Yes","Existing","No","Classification","Yes, using pre-trained models with transfer learning techniques","Various skin disorders","Comprehensive dermatology dataset","Not informed","Not informed","Data augmentation techniques","Thorough evaluation of model performance","Yes, using pre-trained models with transfer learning techniques","Yes, investigated data augmentation techniques to improve classification performance","No","Multiclass dermatology classification accuracy","Significant improvement in multiclass dermatology classification accuracy","No","Not informed","Potential difficulties, ethical issues, and future research directions discussed","Deep Transfer Learning for Multiclass Dermatology Classification: A Comprehensive Study"
"Class-aware cartilage bone segmentation network with geometry-constraint post-processing","No","New","Yes, using class-aware segmentation and dense skeleton graph-based registration","Segmentation and Registration","VAE-based boundary-constraint post-processing in manifold space","Not applicable (focus on intercostal ultrasound imaging)","Five distinct CTs and two volunteer US data, resulting in ten pairs of CT-US combinations","Ten pairs of CT-US combinations","Not informed","Geometry-constraint post-processing","Euclidean error evaluation on path mapping performance","No","Not informed","Yes, compared with previous methods based on external features such as skin surface or passive markers","Euclidean error (2.21 ± 1.11 mm)","Proposed method accurately maps intercostal path from template to individual patients","Yes, outperforms previous methods in terms of accuracy and robustness","Yes, tested on ten randomly paired CT and US datasets","Not informed","Class-Aware Cartilage Segmentation for Autonomous US-CT Registration in Robotic Intercostal Ultrasound Imaging"
"Swin Transformer","Yes","Existing","No","Classification","Yes, using multi-scale feature extraction and localized self-attention mechanisms","Not specified (24 skin conditions including healthy skin)","DermNet dataset and Healthy Skin Dataset","Not informed","Not informed","Not informed","Accuracy, precision, recall, and F1 score evaluation","Not informed","Not informed","Yes, compared with traditional CNN models","Accuracy, precision, recall, and F1 score","97% accuracy, precision, recall, and F1 score","No","Yes, tested on DermNet dataset and Healthy Skin Dataset","Not informed","Classification of 24 Skin Conditions Using Swin Transformer: Leveraging DermNet & Healthy Skin Dataset"
"PAWnnect (IoT-based dog monitoring platform with InceptionV3 machine-learning model)","No","New","Yes, combining IoT technology with machine learning (InceptionV3) for pet health tracking","Classification/Diagnosis of skin diseases in dogs","Not informed","Not applicable (skin diseases in dogs)","Not informed","Not informed","Not informed","Not informed","Not informed","Yes, using transfer learning with InceptionV3 model","Not informed","No","Not informed","Not informed","No","No","Not informed","PAWnnect: Pioneering IoT-ML Driven Pet Monitoring"
"Not applicable","No","Not applicable","Not applicable","Review and guidelines for facial thermal imaging measurements","Not informed","Not applicable","315 papers selected according to PRISMA guidelines","Not informed","Not informed","Not informed","Systematic review and measurement uncertainty estimation","Not applicable","Not informed","No","Measurement uncertainty estimation","Threshold of at least 0.3 °C suggested for metrologically significant difference","No","Not applicable","Inaccurate and unreliable measurements due to non-standardised measurement protocol","Facial thermal imaging: A systematic review with guidelines and measurement uncertainty estimation"
"Vision Transformer (ViT-B16, ViT-B32, ViT-L32) with additional layers","Yes","Existing with modifications","No","Classification","Not informed","Squamous Cell Carcinoma (SCC), a type of non-melanoma skin cancer","Biopsy image dataset for SCC (unspecified)","Not informed","Not informed","Not informed","Comparison with ResNet50 and evaluation of ViT model variants","Not informed","Not informed","Yes, compared with ResNet50","Accuracy, AUC, and loss value","ViT-B16 model achieved an accuracy of 0.906 and an AUC of 0.905","Yes, outperformed ResNet50","No, only tested on biopsy image dataset for SCC","Not informed","Squamous Cell Carcinoma Margin Classification Using Vision Transformers from Digital Histopathology Images"
"Deep Learning Classifier (custom model) using CNN and SVM","Yes","New","Yes, combining CNN and SVM","Classification","Yes, using complex deep-learning algorithm","Five different forms of skin cancer (melanoma, BCC, SCC, Merkel cell carcinoma, sebaceous carcinoma)","Dataset including five different forms of skin cancer","Not informed","Not informed","Not informed","Evaluation via precision, recall, and F1-score","Not informed","Not informed","No","Precision, recall, and F1-scores","98% overall accuracy for BCC with precision of 92.17% and recall of 97.74%","No","No","Not informed","Multi-Modal Skin Cancer Diagnosis Using CNN and SVM on Dermoscopic and Clinical Images"
"CNN-based Classifier for Rash and Melanoma Staging","Yes","Existing","No","Classification","Not informed","Melanoma, squamous cell carcinoma, basal cell carcinoma","Skin lesion dataset (unspecified)","Not informed","Not informed","Not informed","Experimental results on skin lesion dataset","Yes, using Convolutional Neural Networks (CNN) and Resnet50","Not informed","No","Accuracy","Approximately 85% accuracy","No","No","Not informed","Classification of Skin Cancer using Machine Learning Techniques"
"Pre-trained Deep Learning Model via Flask","Yes","Adaptation","No","Classification","Not informed","Melanoma","HAM10000 dataset","Not informed","Not informed","Addressing challenges such as multiple color variations in moles","No explicit evaluation metrics provided","Yes, using pre-trained deep learning model","Not informed","No","No explicit evaluation metrics provided","Aims to detect and treat skin cancer in patients at an early stage","No","Yes, tested on HAM10000 dataset","Manual system limitations, such as difficulty recognizing multiple shades of colors in moles","Melanoma Skin Cancer Disease Detection Using Convolutional Neural Network"
"Fusion Classification Model using Pre-trained Deep Learning","Yes","New","Yes, fusion of diverse skin image data and pre-trained deep learning models","Classification and prediction of potential malignant transformation","Yes, using pre-trained deep learning models to extract detailed patterns and features","Skin cancer diseases and conditions, including Squamous Cell Carcinoma (SCC)","HAM10000 dataset and 100 high-quality SCC images","10,000 (HAM10000) + 100 (SCC)","Not informed","Not informed","Classification accuracy evaluation","Yes, using pre-trained deep learning models","Not informed","No","Classification accuracy (92%)","High classification rate of 92%","No","Yes, tested on HAM10000 and SCC images","Not informed","Multimodality Data Integration for Improved Skin Cancer Disease Classification and Prediction: An Analysis Using Trained Model on HAM-10000 Metadata & Squamous Cell Carcinoma (SCC) Images"
"R-CNN Classifier with EfficientNet Backbone","Yes","Existing (R-CNN) with modification (EfficientNet backbone)","Yes, using data augmentation and weighting strategies","Classification","Yes, using EfficientNet model","Melanoma and carcinoma","Unspecified skin dataset","Not informed","Not informed","Data augmentation and weighting strategies","Evaluation metrics not provided","Yes, using pre-trained EfficientNet model","Yes, used to enhance learning","No","Not informed","Not informed","No","No","Not informed","Skin Cancer Lesion Analysis of Carcinoma and Melanoma Using Deep Learning Model"
"Not informed (survey paper)","Yes","Not informed (survey paper)","Not informed (survey paper)","Classification","Yes, using deep learning techniques for feature extraction","Multi-class skin cancer","Not specified (various datasets used in surveyed studies)","Not informed","Not informed","Not informed","Performance metrics such as Matthews Correlation Coefficient, recall, precision, F1-score, Dice, sensitivity, Jaccard, and processing time","Not informed","Not informed","Yes, compares various deep learning techniques for multi-class skin cancer classification","Matthews Correlation Coefficient, recall, precision, F1-score, Dice, sensitivity, Jaccard, and processing time","DL-based multivariate classification improves efficiency and overcomes poor data quality","No (survey paper)","Yes (various datasets used in surveyed studies)","Poor data quality, time complexity","Classification of Multi-Class Skin Cancer using Deep Learning Algorithm"
"Integrated Framework with Spatial Attention-Driven Transfer Learning and Autoencoder-Decoder Fusion","Yes","New","Yes, combining transfer learning, spatial attention mechanisms, and autoencoder-decoder fusion","Classification and segmentation of skin lesions","Yes, using autoencoder-decoder for image segmentation and reconstruction of lesion boundaries","Skin cancer (general)","Dermoscopic images (dataset details not provided)","Not informed","Not informed","Transfer learning with spatial attention mechanisms to focus on lesion edges and irregularities","Described as leading to more accurate and robust detection (no specific metrics provided)","Yes, using pre-trained knowledge from large datasets fine-tuned for skin cancer patterns","Not informed","No","Diagnostic accuracy (not specified how it's measured)","More accurate and robust detection compared to unspecified baselines","No","Not informed","Handling small, subtle lesions and variability in image quality","Advancing Skin Cancer Detection: Integrating Attention-Driven Transfer Learning and Autoencoder-Decoder Fusion"
"Seven-Type Skin Disease Detection Using CNN","Yes","Existing","No","Classification","Yes, using convolutional and pooling layers","Both cancerous (basal cell carcinoma, melanoma, pyogenic granulomas) and non-cancerous (dermatofibroma, melanocytic nevi)","HAM10000 dataset","Not informed (but HAM10000 is a large dataset)","Yes, balanced by duplication","Maxpool2d, conv2d, batch normalization, flatten, dense, softmax","High accuracy reported (exact numerical value not provided)","Not informed","Duplication to balance the dataset","No","Accuracy","High accuracy achieved","No","No, only HAM10000 dataset used","Skin diseases can have harmful impacts if not treated early, and the model may not generalize well to other datasets or real-world scenarios","Recognition of Type of Skin Disease Using CNN"
"K-Means Clustering Preprocessing and Feature Extraction for Skin Cancer Staging","Yes","Traditional machine learning algorithm","Yes, using K-means clustering for preprocessing, feature extraction, and Multi-Class Support Vector Machine (MCSVM) for classification","Classification","Yes, extracts features from preprocessed data using Local Binary Pattern (LBP) and Color Coherence Vector (CCV)","Skin cancers, including squamous cell carcinoma, actinic keratosis, basal cell, and malignant melanoma","Not specified","10","Not informed","Yes, using K-means clustering to remove irrelevant texture","Classification results","No","Not informed","No","Classification accuracy","Up to 94.4% classification accuracy","No","No","Not informed","A robust approach for automatic skin cancer disease classification"
"CNN-Based ConvNet for 9-Type Skin Cancer Lesion Classification","Yes","Existing","No","Classification","Yes, using Convolutional Neural Network (CNN)","Melanoma and Non-Melanoma skin cancer","International standard dataset (exact dataset not specified)","Not informed","Not informed","Not informed","Trained and evaluated using international standards","Not informed","Not informed","No","Accuracy of classification","High accuracy (60-80%) stated by International Skin Imaging Collaboration (ISIC)","No","Not informed","Medical procedures are too long, and doctor’s diagnosis cannot be 100% accurate","Classification And Detection Of Skin Cancer Using Deep Learning Methods"
"Novel BCC detection method using HD-OCT","Yes","New","Yes, combining graph-based skin surface segmentation, surface flattening, deep feature extraction, and BCC classification","Classification","Yes, using deep feature extraction","Basal cell carcinoma (BCC)","Dataset of 5,040 HD-OCT images","5,040","Not informed","Graph-based skin surface segmentation and surface flattening","Experimental results on a dataset of 5,040 images","Not informed","Not informed","No","Effectiveness of the proposed method","The proposed method can serve as an automatic tool for screening BCC","No","No","Not informed","Automated basal cell carcinoma detection in high-definition optical coherence tomography"
"Gabor Convolutional Network (GCN) model","Yes","New","Yes, combining CNN and Gabor filtering","Classification","Yes, using Gabor filtering to extract spatial information","Skin cancer (including melanoma)","HAM10000 skin lesion dataset and dermoscopic images","Not informed","Not informed","Gabor filtering to extract spatial information","Classification accuracy comparison between GCN and CNN models","Yes, using pre-trained EfficientNetB0 model with transfer learning","Yes, data augmentation applied to enhance the pre-trained model","Yes, compared with CNN model","Classification accuracy, weighted average precision, recall, F1-score","GCN model achieved 96.39% classification accuracy, outperforming CNN model (94.02%)","No","Yes, tested on HAM10000 skin lesion dataset and dermoscopic images","Not informed","Proposition of Convolutional Neural Network Based System for Skin Cancer Detection"
"RexNet 150","Yes","Existing","No","Classification","Yes, using RexNet 150 architecture","Melanoma, BCC, and Keratoses","HAM10000 (Humans Against Machines 10000) dataset with over 60,000 images","Over 60,000","Not informed","Not informed","Testing accuracy and training accuracy comparison","Not informed","Not informed","Yes, compared with conventional CNN models","Accuracy and loss comparison","RexNet 150 achieves testing accuracy of 97.91% and training accuracy of 99.21%","No","Yes, tested on HAM10000 dataset","Not informed","Enhancing Skin Lesion Classification Accuracy: A Deep Learning Approach Using RexNet 150 for Improved Dermatological Diagnosis"
"Not informed (comparative analysis of existing methods)","Yes","Not informed","Not informed","Classification and Segmentation","Not informed","Melanoma","Various databases (not specified)","Not informed","Not informed","Not informed","Comparative analysis of existing methods","Not informed","Not informed","Yes, comparative analysis of different deep learning methods","Performance comparison of different methods","Not informed (comparative analysis)","No","Yes, various databases used in reviewed papers","Not informed","A Comparative Analysis on Deep Learning Techniques for Skin Cancer Detection and Skin Lesion Segmentation"
"Convolutional Neural Network (CNN) with Data Augmentation","Yes","Existing","Yes, using CNN and data augmentation","Classification","Not informed","8 different types of skin cancer lesions (Melanoma, Melanocytic Nevi, Benign Keratosis Lesion, Actinic keratosis intraepithelial carcinoma, Dermeto Fibrona, Squamous Cell Carcinoma, Vascular Lesions, Basal Cell Carcinoma)","HAM10000 (Human Against Machine with 10000 training images)","10000","Not informed","Data augmentation","Training and testing accuracy comparison","Not informed","Yes, used for multi-class skin cancer classification","No","Macro average precision (62.0%), Weighted average precision (77.0%), Training accuracy (86.54%), Testing accuracy (77.91%)","Training accuracy of 86.54% and testing accuracy of 77.91%","No","No, only tested on HAM10000 dataset","Not informed","Multiclass Classification of Skin Cancer using Convolutional Neural Network"
"Multi-CNN models with pretraining (Inception3, Xception, VGG16, MobileNet, ResNet)","Yes","Existing","No","Classification","Not informed","Malignant/benign skin cancer","Small dataset (not specified)","Not informed","Not informed","Connected with Dropout, Global Average Pooling, and output layers","Comparison of performance by varying hyperparameters","Yes, using pre-trained models (ImageNet)","Not informed","Yes, compared with non-pretrained models and different hyperparameter settings","Accuracy of binary classification","Pretraining improves performance for already converged models; simpler models converge faster","No","No, tested on a single small dataset","Small dataset size and diversity of skin cancer images make classification challenging","Multi-CNN models with Pretraining for Binary Classification in Skin Cancer"
"HAIS AI tool using computer vision and image analysis algorithms","Yes","New","No","Classification","Not informed","Skin Cancer","Not Mentioned","Not Mentioned","Not Mentioned","Computer vision and image analysis algorithms","Claims improved accuracy, but no specific metrics mentioned","Not informed","Not informed","No","Improved accuracy (no specifics)","Improved accuracy using HAIS AI tool","No","No, focused on Indian subcontinent","Not informed","Early Detection of Skin Cancer - Solution for Identifying and Defining Skin Cancers using AI"
"Inception v3 with transfer learning","Yes","Adaptation","No","Classification","Yes, using Convolutional Neural Networking (CNN)","Melanoma and non-melanoma (nevus, seborrheic keratosis)","Kaggle dataset with 2,750 dermoscopic images","2750","Not informed","Not informed","Test accuracy in Jupyter notebook and Google Colab","Yes, using Inception v3 with transfer learning","Not informed","No","Test accuracy (77.25% in Jupyter notebook, 96.19% in Google Colab)","96.19% test accuracy in Google Colab","No","No","Not informed","Identification and Classification of Melanoma Using Deep Learning Algorithm"
"Convolutional Neural Network (CNN)","Yes","Existing","No","Classification","Yes, using deep learning to automatically identify complex patterns and features","Benign and malignant skin cancer lesions","Skin Cancer MNIST HAM10000 dataset","10,000 images","Not informed","Data augmentation techniques used to enhance performance","Trained and tested on the HAM10000 dataset","No","Yes, data augmentation approaches utilized to enhance performance","Not informed","Accuracy","Approximately 98.10% accuracy","No","No, only tested on the HAM10000 dataset","Not informed","An Intelligent System For Skin Cancer Detection Using Deep Learning Techniques"
"BilinearCNN-SA (Bilinear CNN with Soft Attention)","Yes","New","Yes, using Bilinear CNN and Soft Attention","Classification","Yes, using ABCD Rule","Skin cancer (malignant moles)","Not mentioned","Not informed","Not informed","Yes, including noise removal, grayscale conversion, and image enhancement","Comparison with standard CNN and SVM models","Not informed","Not informed","Yes, compared with convolutional neural network and support vector machine models","Performance comparison (claims to perform 'very well')","Proposed method fares very well compared to standard CNN and SVM models","No","Not informed","Not informed","Intelligent System for Early Diagnosis of Skin Cancer using Bilinear CNN and Soft Attention Approach"
"Hybrid transfer learning approach (ResNet152V2, VGG19, MobileNetV3Large)","Yes","Hybrid","Yes, combining deep learning, transfer learning, and hybrid model","Classification","Yes, using Convolution Neural Network and pre-trained models","Skin cancer","HAM10000 dataset","Not informed","Not informed","Not informed","Comparative evaluation based on metrics like accuracy, precision, recall, and AUC","Yes, using pre-trained models (ResNet152V2, VGG19, MobileNetV3Large)","Not informed","Yes, comparing deep learning, transfer learning, and hybrid approach","Accuracy, precision, recall, AUC","Not specified (no specific values given in the abstract)","No","No (only HAM10000 dataset mentioned)","Not informed","Skin Cancer Diagnosis using Deep Learning, Transfer Learning and Hybrid Model"
"Not Specified","Yes","Not informed","No","Classification","Yes, feature extraction and selection are mentioned as part of the process","Malignant melanoma","Not Specified","Not informed","Not informed","Yes, preprocessing is mentioned as part of the process","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Need for more reliable and consistent detection methods with higher accuracy","Comparative Study of DNN Models for Skin Cancer Detection"
"Deep learning classifier pipeline","Yes","Existing","No","Classification and biomarker discovery","Yes, using deep learning models to extract features including contextual information","Melanoma","Dermoscopy images (not specified)","Not informed","Not informed","Not informed","Agreement with dermatologists and qualitative evaluation","Not informed","Not informed","No","Qualitative evaluation and agreement with dermatologists","Discovery of useful biomarkers, including surrounding skin as a biomarker","No","Not informed","Lack of quantitative metrics and limited information on dataset and experimental setup","From Deep Learning Towards Finding Skin Lesion Biomarkers"
"Client-Server-Based Mobile Application using two machine learning models","Yes","Not informed (models not specified as CNN or deep learning based)","No","Classification","Not informed","Melanoma and skin cancer","Comprehensive dataset (not specified)","Not informed","Not informed","Real-time videos or gallery images","Evaluations on mobile device cameras and gallery images","Not informed","Not informed","No","Detection accuracy of malignant moles (93%)","Model accurately detects 93% of malignant moles","No","Not informed","Current approach relies on visual examination by dermatologists, which can be subjective and time-consuming","Client-Server-Based Mobile Application for Skin Cancer Diagnosis Using Convolutional Neural Networks"
"Progressive Growing of Generative Adversarial Network (PG-GAN) integrated with CNN-based classifiers","Yes","New","Yes, combining PG-GAN with CNN-based classifiers","Classification","Not informed","Skin cancer (cancerous and non-cancerous lesions)","PAD-UFES 20 dataset (non-dermoscopic images)","Not specified","No, data imbalance is addressed using PG-GAN to generate synthetic images","PG-GAN used to generate high-resolution synthetic non-dermoscopic images","Classification accuracy between cancerous and non-cancerous lesions","Not informed","Yes, using PG-GAN to generate realistic synthetic images for training","Yes, compared with other models (ResNet50, VGG16)","Classification accuracy and image resolution","Enhanced classification accuracy between cancerous and non-cancerous lesions","No","Yes, tested on PAD-UFES 20 dataset","Data imbalance and variations within and between different categories of images","Skin cancer classification using Progressive Growing of Generative Adversarial Network"
"New method for automatic diagnosis of melanoma using segmented dermatoscopic images","Yes","Not Specified","No","Classification","Yes, introduces several new features to improve accuracy","Melanoma","ISIC archive","Not informed","Not informed","Segmented dermatoscopic images","Implementation and testing on ISIC dataset","Not informed","Not informed","Yes, compared with most recent previous works","Accuracy and F1 score","Outperforms most recent previous works by 1.5% in accuracy and achieves a 2.32-point higher F1 score","Yes","No, only tested on ISIC dataset","Not informed","Automatic Skin Cancer (Melanoma) Detection by Processing Dermatoscopic images"
"Convolutional Neural Network (CNN) and Support Vector Machine (SVM)","Yes","Existing","No","Classification","Not informed","Skin cancer","Not specified, but sample size of 20 for two groups","40 (2 groups with 20 samples each)","Yes, two groups with equal sample size","Not informed","Independent samples test and statistical analysis","Not informed","Not informed","Yes, compared CNN with SVM algorithm","Accuracy (95.03% for CNN, 93.04% for SVM), specificity, and p-values","CNN algorithm's accuracy was better than SVM algorithm for skin cancer detection","No","Not informed","Small sample size (20 samples per group) may not be representative of larger population","Skin Cancer Classification using CNN in Comparison with Support Vector Machine for Better Accuracy"
"Pretrained DenseNet architecture","Yes","Adaptation","No","Classification","Not informed","Various skin lesions (benign and cancerous)","HAM10000 dataset","10,015 dermoscopic images","Yes, resampled to balance classes in the second experiment","Not informed","Comparison of two experiments (imbalanced and balanced datasets)","Yes, using a pretrained DenseNet architecture","Resampling for balancing classes","No","Accuracy","82.1% accuracy with the balanced dataset","No","No, only HAM10000 dataset was used","Not informed","Multiclass Skin Lesion Classification Using Densenet"
"Lightweight convolutional neural networks (V-CNN and VRES-CNN)","Yes","New","No","Classification","Not informed","Skin cancer","Dermatological images (not specified)","Not informed","Not informed","Quantization technique to reduce complexity","Comparison of several TinyML models","Not informed","Not informed","Yes, compared with EfficientNet and ResNet","Diagnostic accuracy and computational demands","Accuracy of over 98.5% for the best model (V-CNN or VRES-CNN)","Yes","Not informed","Resource-constrained devices, complexity reduction","Skin Cancer Detection Using Constrained Neural Networks and the Development of an Optimized Technical Infrastructure for Resource-Efficient Diagnosis"
"Comparison of six CNN models (ResNet50, etc.)","Yes","Existing","No","Classification","Not informed","Skin cancer","HAM10000","Not informed","Class imbalance addressed through data augmentation","Data augmented and normalized","Evaluation of six CNN models under different configuration settings","Not informed","Yes, used to address class imbalance","Yes, compared six different CNN models (ResNet50 as the best performer)","Accuracy","99.73% accuracy recorded by ResNet50 using Adam optimizer at a learning rate of 10−3","No","No, only HAM10000 dataset used","Not informed","A Comprehensive Study on Skin Cancer Detection Using Deep Learning"
"Fine-tuned Skin Cancer Classification Network (SCCNet) based on Xception deep learning model","Yes","New, with additional fine-tuned layers","No","Classification","Not informed","Multiple classes of skin cancer (7 classes)","ISIC-2018 dataset with 21,000 images after data augmentation","21,000 images (3,000 images in each class)","Yes, balanced dataset with equal number of images in each class","Data augmentation applied to the ISIC-2018 dataset","Seven-class classification evaluation metrics","Yes, using transfer learning from Xception deep learning model","Yes, data augmentation techniques used on ISIC-2018 dataset","Yes, compared with several state-of-the-art approaches and outperformed them","Accuracy: 95.20%, Precision: 95.14%, Recall: 95.00%, F1-score: 95.14%","Achieved an impressive accuracy of 95.20% in the classification of multiple skin cancer classes","Yes, outperformed several state-of-the-art approaches","No, only tested on ISIC-2018 dataset","Not informed","SCCNet: An Improved Multi-Class Skin Cancer Classification Network using Deep Learning"
"EfficientNetV2 deep learning model","Yes","Existing","No","Classification","Not informed","Skin cancer (Basal Cell Carcinoma, Melanoma, Nevus)","Not specified","Not informed","Not informed","Not informed","Two-stage classification system","Yes, using pre-trained EfficientNetV2 model","Not informed","Yes, compared with other CNN pre-trained models","Accuracy (91% and 90%)","Two-stage classification system achieved highest accuracy using EfficientNetV2 model","No","Not informed","Not informed","An Efficient Mobile Application for Real-time Detection and Classification of Skin Cancer"
"SLS-Net (Skin Lesion Segmentation Network) with FNLM preprocessing and SCU-Net","Yes","New","Yes, using FNLM for preprocessing and SCU-Net for segmentation","Segmentation","Not informed","Various skin cancers","ISIC-2019 and PH2 datasets","Not informed","Not informed","Yes, using Fast Nonlocal Mean (FNLM) filter","Simulations on ISIC-2019 and PH2 datasets","Not informed","Not informed","Yes, compared with conventional segmentation models","Precision, recall, sensitivity, specificity, and f1-score","Superiority in terms of precision, recall, sensitivity, specificity, and f1-score compared to conventional models","No","Yes, tested on ISIC-2019 and PH2 datasets","Not informed","Skin Lesion Segmentation Using SCU-Net with FNLM Preprocessing"
