"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Hybrid model of machine learning models (CNNs, SVM, Naïve Bayes, K-NN classifiers)","Yes","Adaptation","Yes, multiple machine learning algorithms used for classification and feature extraction","Automated skin cancer detection using dermoscopic images","Yes, deep features extracted by CNNs for image analysis and classification","Melanoma (1196 images) and benign skin lesions (1439 images)","International Skin Image Collaboration (ISIC) dataset","Not specified in the text but mentioned as 'large number of images' used for training and testing machine learning models","No, class imbalance not explicitly stated","Yes, preprocessing step included in proposed method (image acquisition, segmentation)","Quantitative measures: accuracy, precision, recall, F1 score","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin cancer detection and classification","Quantitative measures: accuracy, precision, recall, F1 score","CNNs achieved highest accuracy (99.5%) among all machine learning algorithms used in the proposed model","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed hybrid model","No (tested on ISIC dataset)","Not explicitly stated","Skin Cancer Classification Utilizing a Hybrid Model of Machine Learning Models Trained on Dermoscopic Images"
"Multiple models proposed (see list of papers)","Yes, skin lesion classification and segmentation","Adaptation","No, single models used for each task or paper","Medical Image Computing and Computer-Assisted Intervention","Yes, various techniques (e.g. Generative Pathology Image Classifier, Volumetric Organ Segmentation) proposed for feature extraction","Multiple types of cancers mentioned (melanoma, prostate cancer)","Not specified in the text but implied to be multiple datasets used across various papers","Not specified in the text but likely large number of images used for training and testing models","No (class imbalance not explicitly stated, although some papers mention handling class imbalance)","Yes, preprocessing steps mentioned in various papers (e.g. data augmentation, normalization)","Various evaluation metrics mentioned across papers (accuracy, precision, recall, F1 score, etc.)","Not applicable or not explicitly stated for most papers","Yes, some papers mention using data augmentation techniques to increase size of training dataset","Some papers compare with state-of-the-art methods and show improved performance","Various evaluation metrics mentioned across papers (accuracy, precision, recall, F1 score, etc.)","Not specified in the text as results vary across different papers","Some papers compare with state-of-the-art methods and show improved performance","No (tested on various datasets for each paper)","Not explicitly stated, although some papers mention limitations of their proposed method","26th International Conference on Medical Image Computing and Computer-Assisted Intervention , MICCAI 2023"
"Deep transfer learning and sparrow search algorithm (SpaSA)","Yes, skin cancer diagnosis","Adaptation","No, single models used for each task","Threshold-based automatic approach for skin cancer detection, classification, and segmentation using SpaSA optimizer","Yes, deep features extracted by pre-trained CNN models (e.g. VGG16, MobileNet) for skin cancer diagnosis","Skin cancer (melanoma and non-melanoma)","Five public datasets: 'skin cancer segmentation and classification', 'PH2', 'ISIC 2019 and 2020 Melanoma', 'Melanoma Classification (HAM10K)', and 'skin diseases image'","Not specified in the text but mentioned as 'large number of images' used for training and testing CNN models","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed method","Quantitative measures: loss, accuracy, F1-score, AUC, IoU, dice, hinge, and squared hinge","Yes, pre-trained CNN models used for feature extraction","No (not mentioned as part of the proposed method)","Yes, comparison with 13 related studies demonstrated the superiority of proposed approach","Quantitative measures: loss, accuracy, F1-score, AUC, IoU, dice, hinge, and squared hinge","MobileNet pre-trained model achieved best reported overall accuracy (98.27%) for 'ISIC 2019 and 2020 Melanoma' dataset","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed approach","No (tested on five public datasets)","Not explicitly stated","Skin cancer diagnosis based on deep transfer learning and sparrow search algorithm"
"Transfer learning method with various activation functions","Yes, melanoma detection and classification from skin cancer diagnosis","Adaptation","No, single models used for each task","Classification of melanoma using deep learning algorithms with various activation functions","Yes, convolutional neural network (CNN) extracts features from skin lesion images","Melanoma and skin cancer","Datasets collected from patients for experimental purpose","Not specified in the text but mentioned as 'various datasets' used for training and testing models","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed method","Model accuracy using various activation functions","Yes, transfer learning method used for classification of melanoma","No (not mentioned as part of the proposed method)","No (compared with state-of-the-art methods not explicitly stated)","Model accuracy using various activation functions","Not specified in the text, but implies that transfer learning method with various activation functions achieved good results for melanoma detection and classification","No (not compared with state-of-the-art methods)","Yes, tested on datasets collected from patients","Not explicitly stated","Activation Functions for Analysis of Skin Lesion and Melanoma Cancer Detection"
"Transfer learning with fine-tuning using pre-trained deep learning algorithms","Yes, melanoma classification and detection","Adaptation","No, single models used for each task","Automated Melanoma Classification System: Data Augmentation using Transfer Learning","Yes, pre-trained deep learning algorithms (EfficientNetB0, Mobile-Net, InceptionV3, XceptionV3, VGG19, ResNet152V2) used for feature extraction and fine-tuning","Melanoma","Not specified in the text but mentioned as 'dataset' with classes of malignant or benign skin lesions","Not specified in the text but mentioned as 'large number of images' used for training and testing models","No (class imbalance not explicitly stated)","Yes, preprocessing step included data organization, normalization, and data augmentation","Quantitative measures: Accuracy, Precision, F1 Score","Yes, pre-trained deep learning algorithms fine-tuned for melanoma classification","Yes, used as part of preprocessing step to increase size of training dataset","Yes, comparison with state-of-the-art models (EfficientNetB0, Mobile-Net, InceptionV3, XceptionV3, VGG19, ResNet152V2) for melanoma classification and detection","Quantitative measures: Accuracy, Precision, F1 Score","Efficient-Net outperformed all other models in melanoma detection with an accuracy of 92%","Yes, comparison with state-of-the-art models demonstrated the superiority of proposed method","No (tested on a dataset not specified)","Not explicitly stated","Transfer Learning for Automated Melanoma Classification System: Data Augmentation"
"Mihm AI model (combination of supervised and semi-supervised learning)","Yes, detection and classification of skin lesions","Adaptation","Yes, combination of supervised and semi-supervised learning for improved performance","High-fidelity detection, subtyping, and localization of five skin neoplasms using AI model Mihm","Yes, deep features extracted by Mihm AI model for lesion classification and localization","Five main types of skin lesions: melanocytic lesions, basal cell carcinoma, atypical squamous lesions, verruca vulgaris, seborrheic keratosis","PathologyWatch (PW) laboratory dataset (2188 random WSIs for supervised training and 5161 WSIs for weakly supervised learning)","Not specified in the text but mentioned as 'large number of images' used for training and testing Mihm AI model","No (class imbalance not explicitly stated, although sensitivity values are provided for each type of lesion)","Yes, pre-processing step included in proposed method to prepare WSIs for analysis by Mihm AI model","Quantitative measures: sensitivity and specificity for each type of skin lesion","Not applicable (Mihm AI model trained from scratch on large dataset)","No (not mentioned as part of the proposed method, although weakly supervised learning subset used to augment training data)","Yes, comparison with state-of-the-art methods for skin lesion detection and classification","Quantitative measures: sensitivity and specificity for each type of skin lesion","Mihm AI model achieved high sensitivity values (98.91% to 86.91%) for detecting five main types of skin lesions, with subtyping, localization, and margin status provided as additional features","Yes, Mihm AI model demonstrated improved performance compared to state-of-the-art methods for skin lesion detection and classification","No (tested on PathologyWatch laboratory dataset)","Not explicitly stated","High-fidelity detection, subtyping, and localization of five skin neoplasms using supervised and semi-supervised learning"
"Novel pipeline consisting of segmentation network and classification network","Yes, skin lesion segmentation and classification","Adaptation","No, single models used for each task","Efficient implementation of skin lesions' segmentation and classification tasks using dermoscopic images and clinical metadata","Yes, multi-scale feature maps synthesized by decoder in segmentation network and cross-modal features exploited in classification network","Skin cancer (not specified which type)","ISIC 2018, PH2 for segmentation; ISIC 2019&2020 combined dataset for classification","Not specified in the text but mentioned as 'large number of images' used for training and testing models","No (class imbalance not explicitly stated)","Yes, lesion masks generated by best segmentation model used to crop images before classification","Quantitative measures: Jaccard index, AUC, accuracy","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin lesion segmentation and classification","Quantitative measures: Jaccard index, AUC, accuracy","Proposed pipeline achieved a Jaccard index of 83.31% and 90.14% in skin lesion segmentation, an AUC of 97.98%, and an Accuracy of 92.63% in skin lesion classification","Yes, proposed method demonstrated superior performance compared to state-of-the-art methods for both tasks","No (tested on ISIC 2018, PH2, ISIC 2019&2020 datasets)","Not explicitly stated","Learning from dermoscopic images in association with clinical metadata for skin lesion segmentation and classification"
"Ensemble learning method using XGBoost","Yes, skin cancer detection","Adaptation","No, single model used for each task","Skin cancer detection using CT image features and ensemble learning","Yes, convolutional neural network (CNN) used to extract features from skin cancer images","Various types of skin cancers","Not specified in the text but mentioned as 'skin cancer images'","Not specified in the text but implied that a large number of images were used for training and testing XGBoost model","No (class imbalance not explicitly stated)","Yes, image processing step included before feature extraction using CNN","Quantitative measures: sensitivity, specificity, accuracy","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with other ensemble-learning methods used in this study","Quantitative measures: sensitivity, specificity, accuracy","XGBoost achieved performance measures such as sensitivity = 97.95%, specificity = 97.00% and accuracy = 97.45%","Yes, XGBoost method showed better results compared to other ensemble-learning methods used in this study","No (tested on a dataset of skin cancer images)","Not explicitly stated","Skin cancer detection using image features and ensemble learning"
"Deep Convolutional Neural Network (DCNN)","Yes, melanoma classification","Adaptation","No, single model used for each task","Automated detection of melanomas using DCNN","Yes, deep features extracted by DCNN for melanoma classification","Melanoma","ISIC 2020 dataset (dermoscopic images)","Not specified in the text but mentioned as 'large number of cancer samples' used for training and testing DCNN model","No (class imbalance not explicitly stated)","Yes, dermoscopic images pre-processed before feeding into DCNN model","Quantitative measures: accuracy, precision, recall, specificity, F1 score","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for melanoma classification and detection","Quantitative measures: accuracy, precision, recall, specificity, F1 score","DCNN grouper attained precision of about 90.42%, 81.41% and 88.23% respectively on ISIC datasets from 2020","Yes, proposed method demonstrated high performance compared to other cutting-edge networks","No (tested only on ISIC 2020 dataset)","Not explicitly stated","Design and Implementation of Convolutional Neural Network Model for Melanoma Classification"
"Categorical Weighting Domination (CWD) for imbalanced classification","Yes, skin cancer diagnosis and classification","Adaptation","No, single model used with CWD approach to handle imbalance data","Improving efficiency of DCNN for classifying multi-class medical images on imbalanced datasets","Yes, feature extraction based on backbone models (EfficientNets, MobileNets, DenseNets) and customizing fully connected layers","Skin cancer (melanoma and nevus)","ISIC2018 benchmark dataset and Chest X-ray dataset","Not specified in the text but mentioned as 'large number of images' used for training and testing DCNN models","No (imbalanced datasets with majority and minority categories)","Yes, data augmentation approach combined with CWD to handle imbalance data","Quantitative measures: recall, precision, specificity, F1 score using various DCNN backbones","Not applicable","Yes, used in combination with CWD for handling imbalanced datasets","Yes, comparison with existing methods (data augmentation, downsampling, customizing loss function, focal loss method) to handle imbalance data","Quantitative measures: recall, precision, specificity, F1 score using various DCNN backbones","CWD approach achieved higher performance than other methods in some specific evaluation criteria (e.g., 2.73% improvement in recall and 5.16% improvement in recall) on ISIC2018 dataset with EfficientNet and DenseNet backbones, respectively.","Yes, comparison demonstrated the superiority of CWD approach over other methods for handling imbalanced datasets","No (tested only on ISIC2018 benchmark dataset)","Not explicitly stated","Categorical Weighting Domination for Imbalanced Classification with Skin Cancer in Intelligent Healthcare Systems"
"Dual Transfer Learning (DTL) approach","Yes, skin cancer and breast cancer detection","Adaptation","No, single models used for each task with fine-tuning on unclassified images of the same disease","Improving performance of pre-trained models using DTL approach","Yes, deep features extracted by VGG16, Xception, ResNet50, and MobileNetV2 models for skin cancer and breast cancer detection","Skin cancer (ISIC2020 dataset) and Breast Cancer (ICIAR2018 dataset)","Two datasets: ISIC2020 skin cancer images and ICIAR2018 breast cancer images","Not specified in the text but mentioned as 'large number of images' used for training and testing models","No (class imbalance not explicitly stated)","Yes, data augmentation techniques applied to balance classes and increase sample size","Quantitative measures: accuracy, precision, recall, F1-score, sensitivity, specificity","Yes, fine-tuning of pre-trained models on unclassified images of the same disease","Yes, applied to balance classes and increase sample size","Yes, comparison with state-of-the-art methods for skin cancer and breast cancer detection","Quantitative measures: accuracy, precision, recall, F1-score, sensitivity, specificity","Xception model achieved highest performance (96.83% - 99.14%) on both datasets with data augmentation","Yes, proposed approach improved models' performance compared to state-of-the-art methods","No (tested on ISIC2020 and ICIAR2018 datasets)","Not explicitly stated","Incorporating a Novel Dual Transfer Learning Approach for Medical Images"
"HI-MViT: a lightweight model for explainable skin disease classification based on modified MobileViT","Yes, skin disease classification (dermatology)","Adaptation","No, single models used for each task","Develop an explainable lightweight skin disease high-precision classification model that can be deployed to the mobile terminal","Yes, deep features extracted by HI-MViT using ordinary convolution, Improved-MV2, MobileViT block, global pooling, and fully connected layers","Not specified (general skin disease classification)","ISIC-2018 dataset (900 images) and ISIC-2017 dataset (2000 images), PH2 dataset for generalization performance evaluation","Not specified in the text but mentioned as 'large number of images' used for training and testing HI-MViT model","No (class imbalance not explicitly stated)","Yes, skin refinement step included in proposed method","Quantitative measures: F1-Score, Accuracy, Average Precision (AP), area under the curve (AUC)","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with top five algorithms of ISIC-2018 Task 3 and ConvNeXt architecture","Quantitative measures: F1-Score, Accuracy, AP, AUC","HI-MViT achieved scores of 0.931, 0.932, 0.961, and 0.977 on F1-Score, Accuracy, Average Precision (AP), and area under the curve (AUC) respectively for ISIC-2018 dataset","Yes, HI-MViT outperformed top five algorithms of ISIC-2018 Task 3 by 6.9%, 6.8%, and 0.8% in F1-Score, AP, and AUC respectively compared to the suboptimal performance model","Yes, tested on PH2 dataset for generalization performance evaluation","Not explicitly stated","HI-MViT: A lightweight model for explainable skin disease classification based on modified MobileViT"
"Pretrained Inception V3 model with various classifiers (Naive Bayes, CNN, Random Forest, Decision Tree)","Yes, detection and classification of vitiligo skin disease","Adaptation","No, single models used for each task","Early identification of macules to avoid delays in treatments for vitiligo skin disease","Yes, features extracted using pre-trained Inception V3 model","Vitiligo (not a cancer)","Not specified in the text but mentioned as 'healthy skin images' used for training and testing models","Not specified in the text but mentioned as 'large number of images' used for training and testing Inception V3 model","No (class imbalance not explicitly stated)","Yes, image preprocessing steps included in proposed method","Quantitative measures: accuracy, recall, precision, AUC, F1-score for each classifier","Yes, pre-trained Inception V3 model used as feature extractor","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for vitiligo detection and classification","Quantitative measures: accuracy, recall, precision, AUC, F1-score for each classifier","Inception V3 with Random Forest achieved highest values of accuracy (99.9%), recall (0.999), precision (0.999), and F1-score (0.999) among all classifiers","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method for vitiligo detection and classification","No (tested on healthy skin images)","Not explicitly stated","Deep Learning based Model for Detection of Vitiligo Skin Disease using Pretrained Inception V3"
"Explainable Artificial Intelligence (XAI) and Deep Transfer Learning (DTL)","Yes, skin disease diagnosis","Adaptation","No, single models used for each task","Accurate diagnosis of skin diseases using XAI and DTL techniques","Yes, deep features extracted by CNN for skin disease diagnosis","Not specified in the text but mentioned as 'skin cancers' (implied to include melanoma)","Comprehensive datasets of diverse skin diseases data","Not specified in the text but implied to be a large number for training and testing DTL model","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed method","Quantitative measures: accuracy, efficiency, effectiveness of XAI-driven diagnostics","Yes, DTL used to improve diagnostic outcomes by leveraging knowledge from other skin disease datasets","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin disease diagnosis and XAI-driven diagnostics","Quantitative measures: accuracy, efficiency, effectiveness of XAI-driven diagnostics","XAI and DTL techniques improved diagnostic outcomes by providing reliable diagnostic support using comprehensive datasets","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method in improving dermatology diagnostic outcomes","No (tested on diverse skin disease data)","Not explicitly stated","Explainable Artificial Intelligence and Deep Transfer Learning for Skin Disease Diagnosis"
"Improved face morphing attack detection method using PCA and Convolutional Neural Network","No, facial images used for face recognition and verification","Adaptation","Yes, combines Principal Component Analysis (PCA), eigenvalue, eigenvector features with Convolutional Neural Network (CNN)","Face morphing attack detection using facial images","Yes, extracted features from facial landmarks area (eyes, nose, mouth, and skin) using PCA, eigenvalue, and eigenvector techniques","No, not related to cancer diagnosis or treatment","Not specified in the text but mentioned as 'set of databases' used for generating morph images","Not specified in the text but mentioned as 'large number of images' used for training and testing CNN model","No (class imbalance not explicitly stated)","Yes, Faster Region Convolution neural network used to determine and cut important landmarks area from facial image","Quantitative measures: accuracy, FAR (False Acceptance Rate), FRR (False Rejection Rate) using DNN classifier and SVM second classifier","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for face morphing attack detection demonstrated the superiority of proposed method","Quantitative measures: accuracy, FAR, FRR using DNN classifier and SVM second classifier","DNN achieved an average accuracy of 99.02% compared to SVM with an accuracy of 98.64%","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on AMSL dataset)","Not explicitly stated","Improved Face Morphing Attack Detection Method Using PCA and Convolutional Neural Network"
"Ensemble feature selection and tabular generative adversarial networks (CTGAN)","Yes, cutaneous melanoma identification","Adaptation","Yes, combination of ensemble feature selection methods with CTGAN for data augmentation","Enhance cutaneous melanoma identification and interpretability using ensemble feature selection and tabular generative adversarial networks","Yes, two feature extraction approaches: handcrafted features (color, geometric, texture) and embedding features (ResNet-based models)","Cutaneous Melanoma","PH2 and Derm7pt public datasets containing dermoscopy images of melanoma and not-melanoma lesions","Not specified in the text but mentioned as 'large number of images' used for training and testing models","No (class imbalance problem, where a few classes have numerous samples while others are under-represented)","Yes, data augmentation with CTGAN to alleviate class imbalance issue","Quantitative measures: AUCROC values for PH2 and Derm7pt datasets","Not applicable","Yes, progressive analysis of the imbalance ratio (IR) related to synthetic samples created using CTGAN","No (compared with ensemble FS methods and linear models)","Quantitative measures: AUCROC values for PH2 and Derm7pt datasets","Combination of ensemble FS, CTGAN, and linear models achieved best predictive results with AUCROC values of 87% (PH2) and 76% (Derm7pt)","Yes, comparison with state-of-the-art methods for melanoma classification","No (tested on PH2 and Derm7pt datasets only)","Not explicitly stated","Ensemble feature selection and tabular data augmentation with generative adversarial networks to enhance cutaneous melanoma identification and interpretability"
"Comprehensive pipeline combining transfer learning, feature selection and machine-learning algorithms","Yes, skin cancer detection using CNN, Particle Swarm Optimization and Machine Learning","Adaptation","Yes, combines multiple methods: transfer learning, feature selection (Particle Swarm Optimization), machine-learning classifiers (Subspace KNN and Medium Gaussian SVM)","Explainable AI-based skin cancer detection using CNN, Particle Swarm Optimization and Machine Learning","Yes, deep features extracted by Xception architecture with task-specific layers frozen for improved performance","Skin cancer (not specified which type)","ISIC 2018 and HAM10000 datasets","Not specified in the text but mentioned as 'large number of images' used for training and testing proposed pipeline","No (class imbalance not explicitly stated)","Yes, skin refinement step included in proposed method","Quantitative measures: accuracy on ISIC 2018 and HAM10000 datasets","Yes, Xception architecture used as pre-trained model with task-specific layers frozen for improved performance","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed pipeline","Quantitative measures: accuracy on ISIC 2018 and HAM10000 datasets","Proposed pipeline achieved impressive accuracies of 98.5% and 86.1%, respectively, on ISIC 2018 and HAM10000 datasets","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed pipeline","No (tested only on ISIC 2018 and HAM10000 datasets)","Not explicitly stated","Explainable AI-Based Skin Cancer Detection Using CNN, Particle Swarm Optimization and Machine Learning"
"DermAI: AI-Driven Chatbot using ResNet-50, LLM via Chainlit, and Retrieval Augmented Generation (RAG)","Yes, enhanced dermatological diagnosis and patient interaction","Adaptation","Yes, combines multiple models for accurate classification of common skin diseases","Accurate classification of common skin diseases using AI-driven chatbot","Yes, uses ResNet-50 model and LLM via Chainlit for feature extraction","Melanoma (among others: chickenpox, shingles, impetigo, nail fungus)","Not specified in the text but mentioned as 'large number of images' used for training and testing DermAI model","Not specified in the text but mentioned as 'large number of images' used for training and testing DermAI model","Yes, dataset is balanced with a high true positive rate (92.6%) and low misclassification rate (2.17%)","Not applicable (text-based chatbot)","Quantitative measures: mean sensitivity, specificity & AUC of 99.8%, 99.9%, respectively","Yes, uses pre-trained ResNet-50 model and LLM via Chainlit for transfer learning","Not applicable (text-based chatbot)","Yes, comparison with previous studies demonstrated the superiority of DermAI in accurate classification of common skin diseases","Quantitative measures: mean sensitivity, specificity & AUC of 99.8%, 99.9%, respectively; true positive rate (92.6%); misclassification rate (2.17%)","DermAI achieved high validation accuracy (100%) for melanoma and other common skin diseases","Yes, DermAI outperforms all solutions proposed in research literature","No (tested on a single dataset not specified)","Minimal tendency to hallucinate with an average hallucination score of 7% and the model may generate grounded answers that are pertaining to the knowledge base","DermAI: An Innovative AI-Driven Chatbot for Enhanced Dermatological Diagnosis and Patient Interaction"
"Multi-level classification system combining CNN and DNN architectures with feature extraction techniques","Yes, skin cancer diagnosis (benign or malignant) and further categorization into basal cell carcinomas, squamous cell carcinomas, or melanoma","Adaptation","No, single models used for each task in two-stage classification approach","Automated skin cancer diagnosis using dermoscopic images and multi-level classification system","Yes, feature extraction techniques employed to identify most pertinent features for classification task","Skin cancer (benign or malignant), basal cell carcinomas, squamous cell carcinomas, melanoma","Not specified in the text but mentioned as 'dermoscopic images'","Not specified in the text but implied to be a large number of images used for training and testing models","No (class imbalance not explicitly stated)","Yes, image preprocessing steps included as part of proposed method","Quantitative measures: accuracy in initial cancer discrimination stage and subsequent stage","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin cancer diagnosis and classification","Quantitative measures: accuracy in initial cancer discrimination stage and subsequent stage","Linear regression classifier achieved an accuracy of 98% in the first stage and 90% in the second stage","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on dermoscopic images)","Not explicitly stated","Skin Cancer Diagnosis With Multi-Level Classification"
"Conditional adversarial segmentation and deep learning approach using EfficientNets","Yes, skin lesion sub-typing from dermoscopic images","Adaptation","No, single models used for each task","Automatic skin lesion subtyping using deep learning and conditional adversarial segmentation","Yes, EfficientNets (B2-B7) used for feature extraction and classification","Skin cancer/lesions","ISIC dataset","Not specified in the text but mentioned as 'large number of images' used for training and testing models","Yes, using SMOTE (synthetic minority oversampling TEchnique) and Reweighting methods to balance dataset","Yes, preprocessing stage included before classification","Quantitative measures: accuracy, precision, recall, F1 score, AUC-ROC curve","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin lesion classification and segmentation","Quantitative measures: accuracy, precision, recall, F1 score, AUC-ROC curve","Proposed pipeline achieved best baseline performance of 91% classification accuracy using EfficientNet B2 and optimal performance reached with EfficientNet B6 (97% accuracy)","Yes, proposed pipeline outperformed state-of-the-art performance on ISIC dataset","No (tested only on ISIC dataset)","Not explicitly stated","Conditional adversarial segmentation and deep learning approach for skin lesion sub-typing from dermoscopic images"
"Skin-CAD: Explainable deep learning classification of skin cancer from dermoscopic images","Yes, skin cancer diagnosis and classification","Adaptation","Yes, combines features from four CNNs with different topologies and deep layers","Explainable artificial intelligence (XAI) based CAD system for skin cancer classification","Yes, dual high-level CNNs features extracted using principal component analysis (PCA)","Skin Cancer (SC), classified into benign or malignant and seven subclasses of SC","Two benchmark datasets: Skin Cancer: Malignant vs. Benign and HAM10000 datasets","Not specified in the text but mentioned as 'large number of images' used for training and testing Skin-CAD model","No (class imbalance not explicitly stated)","Yes, dermoscopic imaging preprocessing included in proposed method","Quantitative measures: accuracy, precision, recall, F1 score, AUC-ROC curve","Yes, transfer learning used to improve performance on skin cancer classification task","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin cancer diagnosis and classification","Quantitative measures: accuracy, precision, recall, F1 score, AUC-ROC curve","Skin-CAD achieved maximum accuracy of 97.2% on Skin Cancer: Malignant vs. Benign dataset and 96.5% on HAM10000 dataset","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on two benchmark datasets)","Not explicitly stated","Skin-CAD: Explainable deep learning classification of skin cancer from dermoscopic images by feature selection of dual high-level CNNs features and transfer learning"
"Heuristic Segmentation Assisted Deep-Spatial Feature Learning Model","Yes, leprosy detection and classification","Adaptation","Yes, combines heuristic segmentation with deep-spatio-textural feature learning","Automated and touchless real-time leprosy diagnosis using computer-aided diagnosis (CAD) solution","Yes, hybrid features including descriptive spatio-textural textural statistics (GLCM) and AlexNet features used for accurate leprosy classification","Leprosy","Not specified in the text but mentioned as 'limited data' which is a challenge in this research area","Not specified in the text but implied to be a relatively small number of images used for training and testing the model","No (class imbalance not explicitly stated)","Yes, ROI-specific segmentation using Firefly Heuristic Driven Fuzzy C-Means clustering (FFCM) included in proposed method","Quantitative measures: accuracy, precision, recall, F-score","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods like GLCM and Convolutional Neural Network based methods demonstrated superiority of proposed model","Quantitative measures: accuracy, precision, recall, F-score","Proposed leprosy detection method exhibited superior performance (accuracy = 96.6%, precision = 99.7%, recall = 95.8%, F-score = 0.9771) over other state-of-art methods","Yes, comparison with GLCM and Convolutional Neural Network based methods demonstrated superiority of proposed model","No (tested on a relatively small number of images)","Not explicitly stated","Heuristic Segmentation Assisted Deep-Spatial Feature Learning Model for Leprosy Detection"
"Lesion-Aware Mixup Augmentation (LAMA) for skin lesion segmentation","Yes, skin lesion segmentation and detection","Adaptation","No, single models used with proposed data augmentation technique","Improving skin lesion segmentation accuracy using LAMA method for dermoscopic images with multiple lesions","Yes, deep features extracted by neural network for skin lesion segmentation and detection","Melanoma (not specified as a specific type of cancer)","ISIC 2017 Challenge dataset and MuLe test set created from ISIC 2020 images with multiple lesions per image","Not specified in the text but mentioned as 'large number of images' used for training and testing LAMA method","No (class imbalance not explicitly stated)","Yes, proposed data augmentation technique includes mixing two or more lesion images from the training set","Quantitative measures: Jaccard score, Dice score","Not applicable","Yes, LAMA method generates synthetic multi-lesion image by mixing two or more lesion images from the training set","Yes, comparison with baseline model on single-lesion and multi-lesion dermoscopic images","Quantitative measures: Jaccard score, Dice score","LAMA improved segmentation accuracy by raising the Jaccard score from 0.687 to 0.744 (8.3% improvement) and Dice score from 0.7923 to 0.8321 (5% improvement)","Yes, comparison with state-of-the-art methods demonstrated improved segmentation accuracy using LAMA method","No (tested on single-lesion ISIC 2017 test images and multi-lesion MuLe test set created from ISIC 2020 images)","Not explicitly stated","LAMA: Lesion-Aware Mixup Augmentation for Skin Lesion Segmentation"
"LiteFusionNet (Lightweight Fusion Network)","Yes, skin image classification","Adaptation","Yes, combines strengths of MobileNet and MobileNetV2 architectures for feature extraction","Medical image classification with improved performance and efficiency","Yes, deep convolutional neural networks (DCNNs) used to extract robust features from medical images","Not specified in the text but mentioned as 'medical imaging modalities' including brain MRI, skin, CT, X-ray, and histology","Publicly available medical image datasets: brain MRI, skin, CT, X-ray, and histology (not specified which specific dataset was used for each modality)","Not specified in the text but mentioned as 'large number of images' used for training and testing LitefusionNet model","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed method to prepare medical images for classification","Quantitative measures: accuracy, precision, recall, F1 score, and AUC-ROC curve","Not applicable (LitefusionNet is a new model)","No (not mentioned as part of the proposed method)","Yes, comparison with five pre-trained models demonstrated LiteFusionNet's superior performance in medical image classification","Quantitative measures: accuracy, precision, recall, F1 score, and AUC-ROC curve","LitefusionNet achieved impressive accuracies across diverse datasets: 97.33% for brain MRI, 91.11% for skin, 99.00% for CT, 98.15% for X-ray, and 92.11% for histology","Yes, LitefusionNet outperformed existing models in terms of classification accuracy","No (tested on a diverse set of publicly available medical image datasets)","Not explicitly stated","LitefusionNet: Boosting the performance for medical image classification with an intelligent and lightweight feature fusion network"
