"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"U-Net convolutional neural network","Yes","New","No","Segmentation","Yes","Melanoma","Not informed","Not informed","Not informed","No","Not informed","Not informed","Not informed","Yes","Accuracy (93.32%)","93.32%","No","No","","Semantic Segmentation System of Pigmented Skin Lesions Based on Convolutional Neural Networks"
"Deep learning model","Yes","New","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Threshold, edge detection, and geometry-based feature extraction","Not informed","Not informed","Not informed","No","Accuracy","Highly accurate (not specified)","Yes","No","None mentioned","Early Detection of Melanoma Skin Cancer Using Image Processing and Deep Learning"
"Recurrent Attentional Convolutional Networks (O-Net)","Yes","New","No","Segmentation","Yes","Melanoma","ISIC-2017 and PH2","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Dice coefficient and Jaccard index","87.04% Dice coefficient on ISIC-2017 dataset, 92.12% on PH2 dataset","Yes","No","Not informed","Skin Lesion Segmentation Using Recurrent Attentional Convolutional Networks"
"Convolutional Neural Network (CNN)","Yes","New","No","Classification","Yes","Melanoma","Harmonically Generated Microscopy Images (HGM)","Not informed","Not informed","Gabor filter for feature extraction","Not informed","Not informed","Not informed","No","Accuracy and speed of convergence","High tumor detection accuracy in HGM images","Yes","No","Not informed","Convolutional Neural Network Classification of Basal Cell Carcinoma in Harmonically Generated Microscopy Images"
"Two-stage deep neural network via ensemble learning","Yes","Adaptation","No","Classification","Yes","Melanoma","ISIC2017 challenge dataset","Not informed","Not informed","No","Not informed","Not informed","Not informed","Yes","Accuracy, other metrics not specified","0.909 Accuracy","No (results compared to previous methods but no SOTA comparison)","No","Not informed","Two-Stage Deep Neural Network via Ensemble Learning for Melanoma Classification"
"Ensemble of VGG-16, DenseNet-201, Inception-V3, and Efficient-B7","Yes","Adaptation","No","Classification","Yes","Various (Basal cell carcinoma, Squamous cell carcinoma, Melanoma)","HAM10000 dataset","Not informed","Not informed","Encryption of captured skin sample images before sending to cloud storage","Not informed","Not informed","Not informed","Yes (DenseNet-201, VGG-16, Inception-V3, Efficient-B7)","Accuracy, AUC score","87.22% Accuracy with an AUC score of 0.9745","Yes (compared to individual CNN models)","No","Not informed","A Secure Framework toward IoMT-Assisted Data Collection, Modeling, and Classification for Intelligent Dermatology Healthcare Services"
"DenseNet201","Yes","Adaptation","No","Classification","Yes","Melanoma","HAM10000 dataset","Not informed","Not informed","Yes (Gabor filter, GLCM, LBP)","Not informed","Yes","Not informed","No","Accuracy and AUC","93.24% Accuracy, 0.932 AUC","No","No","Not informed","Skin Cancer Image Classification Using Deep Neural Network Models"
"Not informed","Yes","Adaptation","No","Classification","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy, Precision, Recall/Sensitivity and Specificity","Not informed","No","No","Painful and intrusive biopsy method","A Systematic Review on Melanoma Skin Cancer Cell Detection"
"Not informed","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","Not informed","Deep Learning Techniques Applied to Skin Lesion Classification: A Review"
"Convolutional Neural Network (CNN) with Image Super Resolution","Yes","New","No","Classification","Not informed","Melanoma","ISIC data archives","41 images","Not informed","Yes (hair removal, noise removal, sharpening)","Not informed","Not informed","Not informed","No","Accuracy","Not informed","Yes (compared with InceptionV3, ResNet, VGGNet)","No","None mentioned","Enhancement in Skin Cancer Detection using Image Super Resolution and Convolutional Neural Network"
"ResNet34","Yes","Adaptation","No","Classification","Yes","Various","HAM10000","Not informed","Not informed","Data augmentation","Not informed","Yes (fine-tuning)","Rotation, crop, flip","No","Accuracy","97.6% Accuracy","Not informed","Yes (HAM10000)","None mentioned","Multi-Class Diagnosis of Skin Cancer Using Residual Networks"
"Not informed","Yes","Adaptation","No","Classification","Yes","Various","Not informed","15","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","Provide help for the researchers","Skin Lesion Detection Using Recent Machine Learning Approaches"
"YOLOv5 Deep Convolutional Neural Networks","Yes","New","No","Segmentation","Yes","Melanoma","Not informed","Not informed","Not informed","No","Not informed","Not informed","Not informed","Yes","Classification of malignant lesion or normal skin","Not informed","No","No","None mentioned","DermaGenics - Early Detection of Melanoma using YOLOv5 Deep Convolutional Neural Networks"
"mCA-Net","Yes","Adaptation","No","Segmentation","Not informed","Melanoma","ISIC2018 skin lesion datasets","Not informed","Yes","Not informed","Not informed","No","Not informed","Yes","Dice score, accuracy, mean ASSD and mIoU","93.56% Dice score, 93.32% accuracy, 87.89% mIoU","Yes","No","Not informed","mCA-Net: modified comprehensive attention convolutional neural network for skin lesion segmentation"
"Convolutional Neural Network (CNN) with Alexnet Architecture","Yes","Adaptation","No","Classification","Yes","Various","ISIC dataset (4000 images)","2700 training data, 900 validation data, and 400 test data","Not informed","Not informed","Train/Test split","No","Not informed","Yes (compared with other optimizers and learning rates)","Accuracy, Loss, Precision, Recall, F1-score","99% accuracy on training data and validation data; 97.5% test data accuracy","No","Yes (tested with ISIC dataset)","Not informed","Skin Cancer Classification Systems Using Convolutional Neural Network with Alexnet Architecture"
"Lesion Image Analysis Tools","Yes","Adaptation","No","Classification","Yes","Various","Not informed","Not informed","Not informed","No","Not informed","Not informed","Not informed","Yes","Texture, size, and shape assessment for image segmentation and feature phases to check for various cancer criteria including asymmetries, borders, pigment, and diameter.","Not informed","No","Yes","The system receives the image of the skin lesion as an input and analyses it using cutting-edge image processing methods to determine whether skin cancer is present.","Analysis of Skin Cancer and Patient Healthcare Using Data Mining Techniques"
"Transformers-based model","Yes","New","No","Classification","Not informed","Various","HAM10000","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy, Precision, Recall, F1 score","90.22% Accuracy","No","No","Not informed","TransSLC: Skin Lesion Classification in Dermatoscopic Images Using Transformers"
"ResNet34","Yes","New","No","Classification","Not informed","Melanoma is not mentioned, but it's about skin cancer in general.","Asian EMPD pathological image screening dataset","95.522% accuracy at a magnification of ×40 (not clear if this refers to the number of images or something else)","Not informed","Not informed","Retrospective single-center study","Not informed","Not informed","Yes (ResNet34 achieved the best performance)","Accuracy","95.522%","No specific comparison to state-of-the-art methods is mentioned, but ResNet34 performed well.","Not informed (the study only used a single dataset)","None explicitly stated","Development and Validation of an Artificial Intelligence-Based Image Classification Method for Pathological Diagnosis in Patients With Extramammary Paget’s Disease"
"EfficientNet V2","Yes","New","No","Classification","Not informed","Various","HAM10000","4","Yes","Not informed","Not informed","Yes","Rotation, crop, flip","No","Accuracy","Not informed","Not informed","Yes","Not informed","Analysis of Data Augmentation on Skin Lesion Classification by Using Deep Learning Models"
"Stacked ensemble method using Xception, Inceptionv3, InceptionResNet-V2, DenseNet121, and DenseNet201","Yes","Adaptation","No","Classification","Yes","Melanoma","Figshare benchmark dataset","Not informed","Not informed","Data augmentation techniques applied (not specified)","Experimentation on Figshare benchmark dataset","Yes","Different augmentation techniques were analyzed, but not specified which ones","Yes","Accuracy (97.93%)","97.93% Accuracy","Yes","No","Not informed","Melanoma classification from dermoscopy images using ensemble of convolutional neural networks"
"Deep convolutional neural networks","Yes","New","No","Classification","Not informed","Melanoma and non-melanoma","ISIC dataset images","170,000 (tens of thousands)","No","Not informed","Train/Test split with data balancing step","Not informed","Not informed","Yes (with human experts)","AUC of 0.80 for the best performing model","AUC of 0.80 on ISIC 2020 test set and AUC of X.XX on ISIC 2017 test set","Yes (with state-of-the-art methods)","No","Significant number of duplicate images, both within and between the datasets","Analysis of the ISIC image datasets: Usage, benchmarks and recommendations"
"Neural Style Transfer (NST)","Yes","Adaptation","No","Classification","Yes","Melanoma","ISIC database","Not informed","Not informed","Yes (Neural Style Transfer)","Not informed","No","Not informed","Yes","Classification performance",">10% improvement over raw images and competitive with well-studied, pretrained CNN models using transfer learning","Yes","No","Not informed","Dermoscopic Image Classification with Neural Style Transfer"
"Machine learning model","Yes","Adaptation","No","Classification","Not informed","Various","Dermoscopic images","2","Not informed","Not informed","Not informed","Yes (MobileNet)","Not informed","No","Accuracy, Not specified","Not informed","No","Yes (RaspberryPi)","Multiple diagnoses over extended periods of time","Deep Learning based Skin Pigmentation Classification for Malignant Skin Lesions"
"CTCNet","Yes","Adaptation","No","Segmentation","Not informed","Various","ISIC2018 datasets","4 images","Not informed","Not informed","Extensive experiments (not specified)","No","Not informed","Yes","Performance compared to state-of-the-art approaches","Better performance than state-of-the-art methods (not specified)","Yes","No","Continuous down-sampling operation brings network redundancy and loss of local details, limitations in modeling long-range relationships","CTCNet: A Bi-directional Cascaded Segmentation Network Combining Transformers with CNNs for Skin Lesions"
"Two-stage classification strategy","Yes","Adaptation","No","Classification","Not informed","Various","Not informed","0","Yes","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","Data imbalance in skin lesions datasets are common problems of skin cancer classification tasks based on deep learning.","A Two-stage Strategy for Skin Cancer Classification Based on Dermoscopic Images"
"Melanocytic skin lesion ontology (MLSO)","Yes","New","No","Classification","Not informed","Various","ISIC2018 datasets","1","Yes","Not informed","Case study","No","Not informed","No","Classification results based on four strategies (Argenziano's, Menzies', Stolz's and Chaos)","Benign nevus classification with no malignancy indicated by any of the applied strategies.","Not informed","No","The MLSO structure is still developing","MSLO - Melanocytic skin lesion ontology"
"MSeg-Net","Yes","New","No","Segmentation","Not informed","Melanoma","ISIC-2017 and ISIC-2018","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Segmentation accuracy (99.32% and 99.63%)","99.63%","Yes","No","","MSeg-Net: A Melanoma Mole Segmentation Network Using CornerNet and Fuzzy K -Means Clustering"
"APCNN","Yes","New","No","Segmentation","Not informed","Various","Benchmark dataset","26","Not informed","Yes (gray scale or single channel images)","Not informed","Not informed","Not informed","No","Binary images for comparison with available mask","Minimizes post-processing step for lesion boundary detection","No","Not informed","High cure rate when diagnosed at an earlier stage","Enhanced Diagnostic Methods for Identifying Anomalies in Imaging of Skin Lesions"
"ANN Based Skin Cancer Detection","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes","Not informed","Yes","Not informed","No","Classification rate","Exceeded existing approaches","Yes","No","","ANN Based Skin Cancer Detection"
"Not informed","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Median Filter, Gaussian Filter and Contrast Enhancement technique","Not informed","Not informed","Not informed","Yes","Accuracy, Sensitivity and Specificity","Not informed","No","No","Not informed","Skin Cancer Detection Using Image Processing: A Review"
"Adaptive Contour Model (ACM)","Yes","New","No","Segmentation","Not informed","Melanoma","PH2 dataset","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","Yes","Jaccard Index (JA) and Dice Coefficient (DI)","88.95% JI, 93.97% DC","Yes","No","Not informed","Segmentation of Skin Lesion Using Adaptive Contours Color Method"
"UNet model with medical prior knowledge","Yes","New","No","Segmentation","Not informed","Melanoma","ISIC-2017 data set","Not informed","No","Not informed","Not informed","Not informed","Not informed","Yes","mIoU (Mean Intersection over Union), Dice Similarity Coefficient","87.41% mIoU, 93.49% Dice Similarity Coefficient","Yes","No","Not informed","Research on melanoma image segmentation by incorporating medical prior knowledge"
"Convolutional Neural Network (CNN)","Yes","New","No","Classification","Yes","Melanoma and Benign skin lesion","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Classification accuracy","Not informed","No","No","Noise reduction and image enhancement","Detection and classification of malignant melanoma and benign skin lesion using CNN"
"Neural Network Classification System","Yes","Adaptation","No","Classification","Not informed","Melanoma and Pigmented Skin Neoplasms","ISIC Melanoma Project","0 (not specified)","Not informed","Not informed","Not informed","Yes, pre-trained on ImageNet set of natural images","Not informed","No","Accuracy (80.15%)","80.15% Accuracy using AlexNet architecture","Yes, compared to methods of visual diagnostics","Not informed","None mentioned","Neural Network Classification of Dermatoscopic Images of Pigmented Skin Lesions"
"Entropy and Gaussian Filter-Based Adaptive Active Contour","Yes","Adaptation","No","Segmentation","Not informed","Melanoma","Dermis dataset","5 images","Yes","Gaussian filter-based maximum entropy and morphological processing methods","Quantitative and qualitative measures on standard dermis dataset","Not informed","Not informed","No","Encouraging results (no specific metrics mentioned)","Not informed","Yes","No","Seed selection in the dynamic contour method has a main drawback of where it should start the segmentation process","Entropy and Gaussian Filter-Based Adaptive Active Contour for Segmentation of Skin Lesions"
"Multi-Attentional U-Net","Yes","Adaptation","No","Segmentation","Not informed","Various","COVID-19, skin cancer, thyroid nodules segmentation datasets","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Performance, computation time and number of parameters","Better performance with faster computation and fewer parameters","Yes","No","","Multi-Attentional U-Net for Medical Image Segmentation"
"SRCRN Network","Yes","New","No","Segmentation and Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Batch mode experiments","No","Not informed","Yes","Accuracy (95%), AUC (97.3%)","93.9% Acc and 97.3% Auc in batch size-32 trials","Yes, with a 6.7% improvement in Acc value and a 9.9% improvement in Auc value compared to the study which took the top place in the ISBI 2017 competition.","No","Not informed","Integrating a novel SRCRN network for segmentation with representative batch-mode experiments for detecting melanoma"
"DenseNet-201, Inception-ResNet-V2, and Inception-V3","Yes","Adaptation","No","Classification","Not informed","Various","HAM10000 and ISIC2019 datasets","38","Not informed","Data augmentation","Fine-tuning optimization","Yes, using ImageNet weights","Rotation, crop, flip (not specified)","No","Accuracy","98% Accuracy for DenseNet-201 model","Yes","Yes, tested on ISIC 2019 dataset","Not informed","Optimized convolutional neural network models for skin lesion classification"
"CNN, KNN, and SVM","Yes","Adaptation","No","Classification","Not informed","Various","ISIC","6","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy","Not informed","No","No","Not informed","Deep Learning-based and Machine Learning-based Application in Skin Cancer Image Classification"
"Squeeze net, Alex net, Res net 101, VGG 19","Yes","Adaptation","No","Classification","Not informed","Various (actinic keratoses, intraepithelial carcinoma Bowen's disease (akiec), basal cell carcinoma (bcc), benign keratosis-like lesions (bkl) and melanocytic nevi (nv))","More than 6000 skin images","Not informed","Not informed","Not informed","Not informed","Yes (pre-trained deep learning models)","Not informed","No","Accuracy","92.5%","Yes","No","Not informed","Machine Learning Models for the Classification of Skin Cancer"
"K-NN algorithm with hand-crafted features","Yes","Adaptation","No","Classification","Yes","Melanoma, Nevus and Seborrheic Keratosis","ISIC 2017 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","","Learning Hand-Crafted Features for K-NN based Skin Disease Classification"
"KullBack-Liebler Divergence Based Meta-learning Algorithm","Yes","New","No","Classification","Not informed","Various","ISIC2018 datasets","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Distance between prototype representations of each class using KLD","Not informed","Yes","No","Not informed","Using KullBack-Liebler Divergence Based Meta-learning Algorithm for Few-Shot Skin Cancer Image Classification: Literature Review and a Conceptual Framework"
"Convolutional Neural Network and fully connected layers","Yes","New","No","Classification","Not informed","Lung cancer (not skin)","3600 pictures with 1800 images in each class","3600","Yes","Not informed","Not informed","No","Not informed","Not informed","Accuracy (86.23%)","86.23%","Not informed","No","None mentioned","Classification of Skin Cancer empowered with convolutional neural network"
"Convolutional Neural Network (CNN)","Yes","New","No","Classification","Not informed","Melanoma","PH2 and ISIC archive datasets","34","Not informed","Yes (image augmentation)","Not informed","No","Yes, image augmentation techniques not specified","No","Accuracy, Precision, Sensitivity","97.50% accuracy, 98.00% precision, and 98.00% sensitivity","Yes (compared with different nonlinear activation functions)","No","Not informed","Convolutional Neural Network-Based Skin Lesion Classification With Variable Nonlinear Activation Functions"
"Not informed","Yes","Adaptation","No","Classification","Not informed","Various","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","Challenges and future opportunities to strengthen these automatic systems","Recent Advances in Diagnosis of Skin Lesions Using Dermoscopic Images Based on Deep Learning"
"Multimodal fusion-based approach","Yes","Adaptation","No","Classification","Not informed","Various","PAD-UFES-20","6","Not informed","Not informed","Extensive experimentation and benchmark results","Not informed","Not informed","Yes","Quantitative and qualitative evaluation","Outperformed state-of-the-art methods significantly over five CNN architectures","Yes","No","Missing and unknown values in patients' metadata","Towards Improved Skin Lesion Classification using Metadata Supervision"
"ANU-Net technique","Yes","New","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Precision, Sensitivity, Accuracy, Specificity","Higher accuracy compared to current systems","Yes","No","Not informed","Skin Melanoma Classification from Dermoscopy Images using ANU-Net Technique"
"CNN","Yes","New","No","Classification","Not informed","Various","ISIC dataset (2747 images)","2747","Yes","Not informed","Not informed","No","Not informed","No","Accuracy (90%)","90% Accuracy","Yes","No","Not informed","Machine Learning on Web: Skin Lesion Classification using CNN"
"Novel CNN model","Yes","New","No","Classification","Not informed","Melanoma","Not informed","0","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Various metrics (not specified)","Better than predecessor in terms of various metrics","No","No","Not informed","Analysis of Different Deep Learning Techniques for the Development of An Efficient CNN Model for Melanoma Skin Cancer Diagnosis"
"Not informed","Yes","New","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Sensitivity and Specificity","80% Accuracy","Yes","No","Not informed","Machine Learning Assisted Early Diagnosis of Skin Cancer"
"CNN","Yes","New","No","Classification","Not informed","Various","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy","92.05%","Yes","No","Not informed","The impact of learning rate and data size on CNN for skin cancer detection"
"Convolutional Neural Network (CNN)","Yes","New","No","Classification and Segmentation","Yes","Melanoma","ISIC, HAM dataset skin images","Not informed","Not informed","Data augmentation","Not informed","Not informed","Rotation, crop, flip (high number of skin images)","No","Classification accuracy and segmentation results","Obtained by applying the proposed methods on ISIC and HAM dataset skin images","Not informed","Yes (ISIC, HAM)","None mentioned","Skin Cancer Detection and Segmentation Using Convolutional Neural Network Models"
"Not informed","Yes","Adaptation","No","Classification","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy, Specificity, Sensitivity","Not informed","No","Yes","Benefits and drawbacks of various approaches","Melanoma Detection and Classification based on Dermoscopic Images using Deep Learning Architectures-A Study"
"CNN model using Keras and Tensorflow","Yes","New","No","Classification","Yes","Various","ISIC challenge archives","Not informed","Not informed","Not informed","Train/Test split and Transfer Learning","Yes","Not informed","No","Accuracy","Not informed","No","No","Not informed","Skin Cancer Detection Using Deep Learning and Artificial Intelligence: Incorporated model of deep features fusion"
"EfficientNetB7 Omurgali U-Net","Yes","New","No","Segmentation","Yes","Melanoma","ISIC2017 dataset (2750 dermoscopic images)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Dice constant (0.884), Jaccard index value (0.809)","0.945 accuracy, 0.889 sensitivity, 0.994 specificity","Better result than existing methods in the literature","No","Not informed","Segmentation of Skin Lesions using U-Net with EfficientNetB7 Backbone; [EfficientNetB7 Omurgali U-Net ile Cilt Lezyonlarinin Segmentasyonu]"
"Alex-Net and Densenet121 with Random Forest classifier","Yes","Adaptation","No","Classification","Yes","Melanoma","ISIC-2016 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy","Highest accuracy achieved with Alex-net and Densenet121 with Random Forest classifier","No","No","","Exploring the strengths of Pre-trained CNN Models with Machine Learning Techniques for Skin Cancer Diagnosis"
"Not informed","Yes","New","No","Classification","Not informed","Melanoma","Not informed","7","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","High demand to develop computer-aided diagnostic systems facilitating the early detection of melanoma","Deep neural networks and advanced computer vision algorithms in the early diagnosis of skin diseases"
"Deep Neural Networks","Yes","New","No","Classification","Not informed","Various","Dermatoscopic images","1","Not informed","Not informed","Not informed","Yes","Not informed","No","Not informed","Not informed","No","No","","DEEP NEURAL NETWORKS FOR SKIN LESIONS DIAGNOSTICS; [GŁĘBOKIE SIECI NEURONOWE DLA DIAGNOSTYKI ZMIAN SKÓRNYCH]"
"Hybrid Deep Learning Approach using CNN and SI algorithms","Yes","Adaptation","No","Classification","Yes","Various","ISIC-2017, ISIC-2018, and PH-2 data sets","Not informed","Not informed","SURF for feature extraction","Not informed","Not informed","Not informed","Yes","Classification accuracy, sensitivity, specificity, F-measure, precision, MCC, dice coefficient, and Jaccard index","98.42% classification accuracy","Yes","No","Not informed","A Novel Hybrid Deep Learning Approach for Skin Lesion Segmentation and Classification"
"Dense-par-AttNet","Yes","Adaptation","No","Classification","Not informed","Various","HAM10000 dataset","6 images (not specified)","Not informed","Data Augmentation","Not informed","Yes","Used in the proposed method","No","Overall accuracy (82.576%)","82.576% Overall Accuracy","Not informed","Yes, HAM10000 dataset","None mentioned","Dense-par-AttNet: An Attention Based Deep Learning Model For Skin Lesion Classification By Transfer Learning Approach"
"Not informed","Yes","Adaptation","No","Classification","Yes","Various","Not informed","0","Not informed","Not informed","Not informed","Yes","Not informed","No","Not informed","Not informed","No","No","Increasing workloads and shortage of skilled workers","State of the Art Review in Skin Lesion Image Processing Analysis"
"Colour space-based split and merge process with global thresholding segmentation technique","Yes","Adaptation","No","Segmentation","Not informed","Various skin diseases (not specified)","Not informed","Not informed","Not informed","Self-guided edge smoothing-colour space technique","Quantitative comparison with existing methods (Otsu thresholding, adaptive thresholding and colour space techniques)","No","Not informed","Yes","Entropy, Dice similarity index, Structural content for edge smoothing-colour space technique","Far superior quality of images obtained by the proposed self-guided edge smoothing-colour space technique (not specified)","No specific comparison with state-of-the-art methods mentioned in the abstract","Not informed","None mentioned","Colour space-based thresholding for segmentation of skin lesion images"
"PySpark with deep neural network","Yes","New","No","Classification","Not informed","Various (benign or melanoma)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Statistical methods (not specified)","Not informed","No","No","None mentioned","Skin cancer prediction using big data analytics and AI techniques"
"Cellular automata (ACA)","Yes","New","No","Classification","Yes","Melanoma","PH2 database","Not informed","Not informed","No","Accuracy, sensitivity and specificity as metrics","Not informed","Not informed","Yes","0.978 Accuracy, 0.944 Sensitivity, 0.987 Specificity","0.987 Specificity","Yes","No","","Melanoma Detection in Dermoscopic Images Using a Cellular Automata Classifier"
"Dilated Scale-Wise Feature Fusion Network","Yes","New","No","Segmentation","Yes","Various","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy and Efficiency","State-of-the-art results consistently achieved","Yes","No","Not informed","Salient Skin Lesion Segmentation via Dilated Scale-Wise Feature Fusion Network"
"Neural network-based systems","Yes","Adaptation","No","Classification","Not informed","Melanoma","ISIC2018, HAM10000 (not specified)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Statistical performances (not specified)","Not informed","No","No","Not informed","New Trends in Melanoma Detection Using Neural Networks: A Systematic Review"
"Combined-learning network (CLNet)","Yes","New","Yes","Both Segmentation and Classification","Yes","Various","Public skin disease dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Promising performance (no specific metrics mentioned)","Not specified in the abstract","No","No","None mentioned","Feature Fusion for Segmentation and Classification of Skin Lesions"
"","Yes","Not informed","No","Classification","Not informed","Various","ISIC dataset and Dermofit dataset","9810","Yes","Automated DCA detection and removal methods","Not informed","No","Not informed","Yes","SSIM score","Better SSIM scores in every DCA intensity level","Yes","No","","Dark Corner on Skin Lesion Image Dataset: Does it matter?"
"Convolutional Neural Network (CNN)","Yes","New","No","Classification","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (with SVM)","Accuracy","96% Accuracy","No","No","","Melanoma Detection from Skin Lesions using Convolution Neural Network"
"Multipath Fusion Model with Fusion Loss","Yes","Adaptation","Yes","Segmentation","No","Various","ISIC 2018 Task 1 test images and a dataset of 2594 images","Not informed","Not informed","Not informed","Train/Test split (80% for training, 20% for testing)","No","Not informed","Yes","Jaccard score and Dice score","0.918 (Dice score) on the test data, 0.880 (Dice score) on ISIC 2018 Task 1 test set","Outperformed cutting-edge approaches in literature","Yes","Not informed","A Novel Approach to Skin Lesion Segmentation: Multipath Fusion Model with Fusion Loss"
"Compact Attention Network (CANet)","Yes","New","No","Segmentation","Not informed","Melanoma","ISIC test dataset","91.7% in Sensitivity and 90.7% in Dice scores for the International Skin Imaging Collaboration (ISIC) test dataset.","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Sensitivity and Dice scores","91.7% in Sensitivity and 90.7% in Dice scores for the International Skin Imaging Collaboration (ISIC) test dataset.","Yes","No","Not informed","CANet: Compact Attention Network for Automatic Melanoma Segmentation"
"Uncertainty-based Fusion Network (UFN)","Yes","Adaptation","No","Classification","Not informed","Various","Two public benchmark datasets (not specified)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (compared with state-of-the-art methods)","Not specified","Not specified","Yes","No","None mentioned","Uncertainty-based Fusion Netwok for Automatic Skin Lesion Diagnosis"
"DPE-BoTNeT: Dual Position Encoding Bottleneck Transformer Network","Yes","New","No","Classification","Not informed","Melanoma","HAM10000 and ISIC2017","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Outperforms state-of-the-art deep learning methods","Yes","No","Not informed","DPE-BoTNeT: Dual Position Encoding Bottleneck Transformer Network for Skin Lesion Classification"
"Block programming models with classifiers","Yes","Adaptation","No","Classification","Yes","Various (Melanocytic nevus, Melanoma, Benign keratosis lesions)","Not informed","200 images per category","No information available","Yes","Not informed","Not informed","Six types of filters were used","No","Classification values (not specified)","Not available","No","Yes, three categories with different types of skin cancer were used","The article does not mention any limitations","Automatic Classification of Images with Skin Cancer Using Artificial Intelligence"
"Deep Convolutional Neural Network (DCNN)","Yes","New","No","Classification","Not informed","Melanoma","PH2 dataset","1","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Classification accuracy","Competitive classification accuracy","No","No","None","Classification of Skin Lesions Using Deep Convolutional Neural Network"
"DBN with Developed Version of Thermal Exchange Optimization (TEO) Model","Yes","New","No","Classification and Detection","Yes","Melanoma, Benign pigmented skin lesions","ISIC dataset","Not informed","Not informed","Dull razor and average median filtering","Comparison with ISIC dataset","No","Not informed","Yes","Various metrics (not specified)","Outperformed other methods in various metrics","Yes","No","Not informed","DBN with a Developed Version of Thermal Exchange Optimization (TEO) Model for Skin Cancer Detection and Classification"
"CU-Net","Yes","Adaptation","No","Segmentation","Not informed","Melanoma","ISIC 2017, ISIC 2018 and PH2 datasets","59 images","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Segmentation results (not specified)","Comparable performance with other state-of-the-art methods","Yes","No","Not informed","CU-Net: A New Improved Multi-Input Color U-Net Model for Skin Lesion Semantic Segmentation"
"Not informed","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","10","Not informed","Hair Removal, Pre-processing","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Traditional cancer detection methods are excruciatingly painful and time-consuming.","The Epidemiology of Automatic Skin Cancer Detection by Comparative Analysis of Pre-processing and Segmentation Techniques"
"Not informed","Yes","Adaptation","No","Classification","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy","Not informed","No","No","Subjective and complex diagnosis","Melanoma Skin Cancer Classification using Machine Learning: A Systematic Literature Review"
